Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades
2022-12-30,41.4,41.44,42.22,42.36,41.3,41.32,41.65,58909.0,2453555.66,613.0
2022-12-29,42.16,42.22,41.12,42.22,41.12,42.22,41.985,40453.0,1698243.67,504.0
2022-12-28,41.5,41.54,41.96,41.98,41.46,41.52,41.671,44433.0,1851775.53,669.0
2022-12-27,41.94,41.98,41.5,42.02,41.48,41.96,41.86,35567.0,1488889.16,529.0
2022-12-23,41.58,41.62,41.76,42.4,41.08,41.62,41.626,73315.0,3051856.96,1015.0
2022-12-22,41.7,41.76,42.26,42.36,41.32,41.66,41.848,119663.0,5007459.49,1534.0
2022-12-21,41.7,41.78,39.88,42.46,39.86,41.84,41.364,197640.0,8175281.62,1874.0
2022-12-20,39.6,39.66,39.46,40.12,39.02,39.68,39.755,57033.0,2267351.12,570.0
2022-12-19,39.96,40.08,39.9,40.36,39.7,40.02,40.011,56337.0,2254068.61,655.0
2022-12-16,39.58,39.64,40.04,40.38,39.24,39.6,39.675,199402.0,7911396.06,1803.0
2022-12-15,40.1,40.16,41.0,41.12,39.86,40.04,40.494,96147.0,3893227.6,1110.0
2022-12-14,41.26,41.3,40.26,41.32,40.0,41.32,40.785,97572.0,3978747.57,905.0
2022-12-13,41.72,41.78,41.56,42.7,41.56,41.78,41.993,130077.0,5462335.5,1556.0
2022-12-12,41.9,41.96,41.36,41.96,40.94,41.94,41.667,99887.0,4161578.59,1360.0
2022-12-09,41.38,41.42,40.5,41.9,40.5,41.56,41.488,160620.0,6663363.56,1495.0
2022-12-08,40.34,40.4,40.0,40.8,39.88,40.36,40.326,175208.0,7065584.42,983.0
2022-12-07,40.04,40.08,40.06,40.4,39.64,40.02,40.064,91530.0,3667772.22,1715.0
2022-12-05,40.48,40.52,40.5,40.96,40.34,40.5,40.569,152072.0,6169718.82,1441.0
2022-12-02,40.48,40.52,40.32,40.7,39.9,40.5,40.277,225470.0,9082861.94,1567.0
2022-12-01,40.2,40.26,40.0,40.42,39.48,40.22,40.103,206199.0,8269259.1,1445.0
2022-11-30,39.66,39.68,39.64,39.92,39.4,39.5,39.557,131819.0,5216068.26,1087.0
2022-11-29,39.62,39.66,39.2,39.84,39.1,39.62,39.62,73473.0,2911013.36,883.0
2022-11-28,39.24,39.28,39.2,39.34,38.84,39.2,39.113,52625.0,2058314.68,811.0
2022-11-25,39.26,39.3,39.52,39.54,39.08,39.32,39.372,58360.0,2297732.16,741.0
2022-11-24,39.46,39.52,38.76,39.78,38.66,39.42,39.453,87716.0,3460357.2,972.0
2022-11-23,38.76,38.8,39.12,39.14,38.64,38.74,38.82,113870.0,4420535.04,993.0
2022-11-22,38.98,39.0,39.0,39.18,38.26,39.12,39.039,65227.0,2546381.2,955.0
2022-11-21,39.16,39.22,38.9,39.32,38.44,39.02,38.898,48985.0,1905401.5,646.0
2022-11-18,39.0,39.06,39.18,39.4,38.84,39.0,39.053,72145.0,2817550.46,963.0
2022-11-17,39.2,39.24,39.2,39.86,38.98,39.18,39.353,85512.0,3365162.76,1344.0
2022-11-16,38.8,40.18,39.98,40.12,38.88,39.08,39.266,69319.0,2721811.42,913.0
2022-11-15,40.0,40.08,40.5,41.04,39.66,39.98,40.139,137884.0,5534392.5,1576.0
2022-11-14,40.1,40.18,41.62,41.76,38.84,40.16,39.818,352713.0,14043126.93,3487.0
2022-11-11,41.94,42.0,41.46,42.1,40.88,41.96,41.411,168106.0,6961369.44,1547.0
2022-11-10,41.22,41.26,40.2,41.82,40.08,41.12,40.929,134806.0,5517545.02,1672.0
2022-11-09,40.26,40.3,40.58,40.92,40.16,40.36,40.419,88441.0,3574720.61,1184.0
2022-11-08,40.44,40.5,40.74,41.12,40.3,40.58,40.539,116114.0,4707080.1,1464.0
2022-11-07,40.6,40.66,39.58,40.68,39.06,40.66,40.272,120297.0,4844438.2,1723.0
2022-11-04,39.6,39.66,38.82,39.7,38.8,39.7,39.435,86461.0,3409405.26,1267.0
2022-11-03,38.6,38.64,38.2,38.88,37.78,38.7,38.489,74291.0,2859263.7,1359.0
2022-11-02,38.38,38.44,38.44,39.08,38.38,38.44,38.626,131449.0,5077326.6,1694.0
2022-11-01,38.4,38.48,38.68,39.36,38.16,38.54,38.724,133468.0,5168336.26,1539.0
2022-10-31,38.02,38.08,38.48,38.48,37.64,38.08,38.05,131998.0,5022568.13,1533.0
2022-10-28,38.4,38.42,39.6,40.04,38.02,38.6,38.671,205046.0,7925016.08,2307.0
2022-10-27,39.72,39.76,38.88,40.14,38.0,39.62,39.162,401389.0,15717939.53,4400.0
2022-10-26,39.88,39.94,35.46,40.4,35.28,40.14,38.775,705411.0,27348587.17,6638.0
2022-10-25,34.8,34.86,34.64,34.98,33.7,34.84,34.531,163303.0,5638642.51,1766.0
2022-10-24,34.58,34.62,34.62,35.02,34.18,34.64,34.621,147262.0,5098293.27,2048.0
2022-10-21,34.24,34.3,34.16,34.64,33.94,34.3,34.283,166406.0,5705007.04,1445.0
2022-10-20,34.4,34.46,34.76,34.88,34.12,34.36,34.452,110177.0,3795978.64,1217.0
2022-10-19,34.88,34.92,35.32,35.46,34.8,34.82,35.054,140948.0,4938775.94,1640.0
2022-10-18,34.72,34.76,34.14,35.16,33.96,34.72,34.771,151913.0,5284909.71,1558.0
2022-10-17,33.8,33.84,32.82,33.9,32.56,33.8,33.469,83207.0,2784946.83,1119.0
2022-10-14,32.66,32.7,33.12,33.32,32.12,32.72,32.717,118229.0,3868004.91,1930.0
2022-10-13,32.48,32.54,31.6,32.68,30.98,32.6,32.189,133783.0,4306215.26,1524.0
2022-10-12,31.16,31.22,31.52,31.56,30.92,31.18,31.271,75817.0,2370913.67,930.0
2022-10-11,31.44,31.5,31.08,31.54,30.8,31.5,31.242,95424.0,2980386.45,1072.0
2022-10-10,31.42,31.48,30.9,32.0,30.78,31.4,31.441,53284.0,1675133.79,846.0
2022-10-07,31.36,31.44,32.08,32.24,30.98,31.36,31.544,150186.0,4737588.82,1287.0
2022-10-06,32.08,32.12,32.3,32.5,31.66,32.08,32.069,85073.0,2728233.78,801.0
2022-10-05,31.98,32.02,33.12,33.16,31.44,32.0,32.12,106702.0,3427198.79,1303.0
2022-10-04,32.94,33.0,31.9,33.08,31.84,33.08,32.671,89853.0,2935369.24,1002.0
2022-10-03,31.28,31.36,30.6,31.46,29.94,31.46,30.902,98961.0,3058012.46,1010.0
2022-09-30,31.02,31.06,30.3,31.1,30.08,31.1,30.741,139806.0,4297760.2,1119.0
2022-09-29,30.08,30.14,30.72,30.8,29.76,30.12,30.21,87190.0,2634045.24,1126.0
2022-09-28,30.58,30.64,29.9,30.72,29.28,30.72,29.915,166230.0,4972624.42,1758.0
2022-09-27,30.2,30.24,31.52,31.58,30.22,30.36,30.873,238219.0,7354467.74,1820.0
2022-09-26,31.54,31.58,30.8,31.94,30.6,31.52,31.396,100987.0,3170536.18,1076.0
2022-09-23,31.06,31.1,32.2,32.2,30.52,31.14,31.072,172671.0,5364952.31,1275.0
2022-09-22,31.9,32.0,31.12,32.18,31.1,31.92,31.906,129752.0,4139994.36,1374.0
2022-09-21,31.76,31.8,30.92,31.78,30.52,31.76,31.329,74475.0,2333251.86,920.0
2022-09-20,30.82,30.88,31.9,32.3,30.76,30.92,31.233,77255.0,2412850.69,912.0
2022-09-19,31.64,31.7,31.0,31.82,31.0,31.76,31.462,61866.0,1946414.11,899.0
