Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades
2022-12-30,49.41,49.45,50.2,50.2,49.36,49.46,49.549,194771.0,9650766.08,1465.0
2022-12-29,50.12,50.18,49.5,50.2,49.19,50.2,49.969,189737.0,9480265.51,1909.0
2022-12-28,49.49,49.54,49.8,49.9,49.47,49.59,49.608,159816.0,7928621.4,1968.0
2022-12-27,49.68,49.72,49.93,50.1,49.52,49.73,49.762,128033.0,6371218.29,1206.0
2022-12-23,49.86,49.89,49.86,50.22,49.73,49.87,49.929,77807.0,3884828.18,1084.0
2022-12-22,49.73,49.79,49.78,50.1,49.65,49.72,49.761,146268.0,7278525.74,1288.0
2022-12-21,49.93,49.99,49.61,49.99,49.47,49.78,49.746,188870.0,9395394.27,1807.0
2022-12-20,49.58,49.61,49.35,49.71,49.07,49.52,49.509,202248.0,10013186.1,1779.0
2022-12-19,49.56,49.65,49.84,49.9,49.39,49.39,49.469,267556.0,13235805.33,1722.0
2022-12-16,49.84,49.88,50.76,50.76,49.25,49.77,49.818,758183.0,37771726.95,5397.0
2022-12-15,50.7,50.74,51.52,51.62,50.58,50.9,51.026,471451.0,24055667.74,3348.0
2022-12-14,51.86,51.9,51.1,52.02,51.1,51.78,51.726,493660.0,25533578.3,2238.0
2022-12-13,50.96,50.98,50.78,51.48,50.12,50.76,50.819,343000.0,17432717.6,2675.0
2022-12-12,50.7,50.76,50.88,51.08,50.4,50.7,50.667,215590.0,10923296.85,1840.0
2022-12-09,50.92,50.98,50.48,50.98,50.38,50.92,50.867,167723.0,8531500.32,1303.0
2022-12-08,50.46,50.5,51.06,51.16,49.64,50.5,50.366,254830.0,12834468.75,2420.0
2022-12-07,51.22,51.26,51.4,51.72,51.02,51.1,51.211,589049.0,30168795.63,3780.0
2022-12-05,51.56,51.62,51.3,51.84,51.06,51.58,51.533,274620.0,14152053.47,2263.0
2022-12-02,51.1,51.14,51.3,51.72,50.98,51.06,51.177,234554.0,12003918.59,1808.0
2022-12-01,51.38,51.4,50.14,51.4,50.14,51.22,51.126,277584.0,14190964.97,1967.0
2022-11-30,49.62,49.67,49.55,49.76,49.23,49.76,49.728,629364.0,31293255.28,2818.0
2022-11-29,49.46,49.48,50.12,50.14,49.25,49.56,49.574,218639.0,10838910.66,2132.0
2022-11-28,50.1,50.12,50.6,50.64,49.92,50.14,50.151,181814.0,9118218.98,2026.0
2022-11-25,50.54,50.6,50.72,50.78,50.36,50.6,50.588,94985.0,4805061.43,1036.0
2022-11-24,50.58,50.64,50.2,50.8,50.2,50.6,50.587,115391.0,5837309.37,1001.0
2022-11-23,50.06,50.1,50.08,50.18,49.86,50.12,50.077,173664.0,8696507.81,1443.0
2022-11-22,50.08,50.1,50.02,50.28,49.69,50.08,50.062,148821.0,7450249.61,2117.0
2022-11-21,50.06,50.12,49.38,50.24,49.31,50.1,49.991,243650.0,12180332.97,3150.0
2022-11-18,49.36,49.4,49.5,49.62,49.01,49.4,49.345,165309.0,8157102.11,1808.0
2022-11-17,49.46,49.53,49.62,49.75,49.16,49.37,49.421,206322.0,10196672.0,2329.0
2022-11-16,49.04,49.88,49.69,49.89,48.97,49.88,49.432,110775.0,5475821.23,2412.0
2022-11-15,49.62,49.67,49.88,50.24,49.53,49.67,49.747,201474.0,10022773.46,2181.0
2022-11-14,49.93,49.96,49.16,50.14,49.03,49.92,49.867,168045.0,8379778.6,2478.0
2022-11-11,49.22,49.25,50.1,50.1,48.81,49.09,49.234,202048.0,9947207.28,3284.0
2022-11-10,49.98,50.04,49.29,50.38,49.04,50.02,49.848,188107.0,9376850.35,2348.0
2022-11-09,49.38,49.41,48.84,49.47,48.6,49.43,49.295,156234.0,7701574.37,1812.0
2022-11-08,48.8,48.84,48.93,49.13,48.72,48.86,48.892,201402.0,9846264.36,2319.0
2022-11-07,48.7,48.77,48.59,48.84,48.42,48.82,48.753,215628.0,10512447.67,2242.0
2022-11-04,48.68,48.72,48.53,48.78,48.36,48.61,48.601,198779.0,9660949.93,3163.0
2022-11-03,48.65,48.71,49.07,49.1,48.4,48.56,48.635,150823.0,7335222.34,1704.0
2022-11-02,49.21,49.25,48.96,49.27,48.8,49.27,49.168,214738.0,10558105.16,2175.0
2022-11-01,48.94,48.96,48.99,49.46,48.79,48.96,49.031,166822.0,8179443.43,2362.0
2022-10-31,48.88,48.92,48.78,49.01,48.44,48.91,48.875,332380.0,16244898.71,3466.0
2022-10-28,48.68,48.71,48.17,48.87,47.96,48.78,48.67,223304.0,10867653.71,2846.0
2022-10-27,48.32,48.34,47.86,48.4,47.68,48.29,48.224,221861.0,10698876.17,2407.0
2022-10-26,47.75,47.77,47.21,47.86,47.07,47.86,47.731,198005.0,9450850.07,2021.0
2022-10-25,47.02,47.09,46.97,47.23,46.62,47.17,47.063,248937.0,11715298.5,2360.0
2022-10-24,46.95,47.02,46.68,47.24,46.27,46.86,46.838,206270.0,9661203.63,2343.0
2022-10-21,46.74,46.79,47.51,47.53,46.63,46.63,46.805,222262.0,10403034.0,2499.0
2022-10-20,47.59,47.63,48.11,48.49,47.42,47.53,47.684,285347.0,13606625.88,2874.0
2022-10-19,48.07,48.1,48.32,48.73,47.37,48.0,47.901,336525.0,16119020.55,3606.0
2022-10-18,47.73,47.77,47.66,47.83,47.03,47.78,47.636,284212.0,13538797.72,3497.0
2022-10-17,46.97,46.99,46.61,47.23,46.58,46.9,46.903,189338.0,8880413.41,1938.0
2022-10-14,46.55,46.58,46.47,46.91,46.33,46.58,46.623,249362.0,11626236.63,2734.0
2022-10-13,46.14,46.2,46.08,46.38,45.57,46.14,46.056,234034.0,10773720.04,2213.0
2022-10-12,46.22,46.27,46.35,46.62,46.01,46.12,46.198,313021.0,14462590.77,3077.0
2022-10-11,46.12,46.13,46.5,46.53,45.86,46.22,46.221,200807.0,9281440.7,3022.0
2022-10-10,46.53,46.55,46.35,46.85,46.25,46.51,46.528,193768.0,9015653.78,2121.0
2022-10-07,46.54,46.56,46.77,47.04,46.47,46.47,46.618,191167.0,8911824.76,2509.0
2022-10-06,46.9,46.93,46.85,47.32,46.77,46.77,46.857,252234.0,11818919.18,2410.0
2022-10-05,47.14,47.19,47.83,47.83,47.05,47.06,47.188,199723.0,9424635.59,2304.0
2022-10-04,47.91,47.99,47.44,48.13,47.19,47.92,47.852,283431.0,13562749.67,2931.0
2022-10-03,47.37,47.4,46.23,47.88,45.91,47.33,47.18,344166.0,16238810.37,4216.0
2022-09-30,46.34,46.4,47.49,47.72,46.1,46.35,46.551,588208.0,27381856.94,3690.0
2022-09-29,47.78,47.8,48.55,48.55,47.47,47.86,47.84,279934.0,13391910.25,3201.0
2022-09-28,48.48,48.55,48.54,48.63,48.02,48.45,48.418,253016.0,12250339.56,2869.0
2022-09-27,48.7,48.73,48.1,48.95,48.1,48.63,48.648,272523.0,13257820.11,2534.0
2022-09-26,48.24,48.3,48.53,48.67,47.85,48.1,48.155,225131.0,10843344.48,1936.0
2022-09-23,48.62,48.64,49.1,49.38,48.3,48.56,48.613,144476.0,7023559.84,1803.0
2022-09-22,49.1,49.13,49.3,49.61,49.02,49.02,49.129,227566.0,11181243.23,2364.0
2022-09-21,49.52,49.58,49.5,50.06,49.37,49.62,49.666,229035.0,11375356.38,2312.0
2022-09-20,49.48,49.51,51.18,51.24,49.08,49.48,49.565,352419.0,17466676.93,3000.0
2022-09-19,51.24,51.28,51.68,51.86,50.9,51.18,51.405,264640.0,13603643.28,2188.0
2022-09-16,51.76,51.82,51.04,52.24,50.94,51.64,51.688,742292.0,38367429.39,4272.0
2022-09-15,51.04,51.08,51.28,51.62,50.98,51.18,51.215,242181.0,12403501.83,1634.0
2022-09-14,51.3,51.36,51.14,51.34,50.74,51.28,51.171,269895.0,13814347.82,1945.0
2022-09-13,51.14,51.2,51.32,51.68,51.0,51.16,51.215,249281.0,12766895.08,2166.0
2022-09-12,51.26,51.3,51.12,51.34,50.62,51.32,51.181,177526.0,9085390.94,2186.0
2022-09-09,50.98,51.06,51.12,51.3,50.6,51.12,51.035,185905.0,9487387.23,1906.0
2022-09-08,51.04,51.1,52.1,52.24,50.88,51.12,51.406,365558.0,18791704.72,2094.0
2022-09-07,52.1,52.16,52.04,52.38,51.76,52.02,52.007,248522.0,12924813.12,1846.0
2022-09-06,52.14,52.18,52.12,52.4,51.8,52.14,52.12,121926.0,6354834.09,1056.0
2022-09-05,52.08,52.14,52.84,52.86,51.88,52.12,52.215,150458.0,7855960.17,1817.0
2022-09-02,53.02,53.06,53.0,53.2,52.64,53.06,52.982,127996.0,6781517.06,1484.0
2022-09-01,52.96,53.02,53.24,53.26,52.18,53.16,53.023,284932.0,15107602.37,2455.0
2022-08-31,53.32,53.38,53.56,53.9,53.16,53.26,53.297,523267.0,27891956.37,2179.0
2022-08-30,53.44,53.5,53.6,54.2,53.4,53.4,53.531,216089.0,11569670.28,2509.0
2022-08-29,53.64,53.7,53.48,53.76,53.06,53.62,53.537,166033.0,8888804.08,1477.0
2022-08-26,53.8,53.84,54.54,54.78,53.68,53.68,53.781,204492.0,10997798.52,1245.0
2022-08-25,54.58,54.64,54.44,54.74,54.28,54.58,54.54,122152.0,6662151.44,1047.0
2022-08-24,54.52,54.6,53.96,54.66,53.7,54.44,54.411,217412.0,11829334.78,1989.0
2022-08-23,53.98,54.04,55.5,55.56,53.7,54.0,54.124,232735.0,12595770.78,2647.0
