Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades
2022-12-30,15.55,15.565,15.78,15.78,15.525,15.54,15.598,820675.0,12801601.16,2391.0
2022-12-29,15.825,15.835,15.74,15.84,15.63,15.84,15.781,868518.0,13705440.1,2859.0
2022-12-28,15.79,15.805,15.825,15.94,15.675,15.8,15.809,887340.0,14027707.08,3721.0
2022-12-27,15.775,15.78,15.98,16.105,15.555,15.785,15.806,678994.0,10732428.43,2964.0
2022-12-23,15.84,15.855,16.285,16.285,15.66,15.88,15.896,745291.0,11847755.14,2744.0
2022-12-22,16.135,16.15,16.25,16.32,16.125,16.23,16.224,1278319.0,20738844.28,4275.0
2022-12-21,16.165,16.18,15.975,16.34,15.85,16.18,16.166,1911696.0,30916314.23,5915.0
2022-12-20,15.855,15.865,15.1,15.92,14.82,15.92,15.709,2858900.0,44859837.28,7775.0
2022-12-19,15.115,15.13,14.38,15.64,14.38,15.155,15.174,3083040.0,46840224.84,7341.0
2022-12-16,14.325,14.335,14.87,14.91,14.23,14.33,14.402,4190449.0,60352466.9,6692.0
2022-12-15,14.895,14.905,15.1,15.16,14.77,14.87,14.923,1925227.0,28731804.22,5396.0
2022-12-14,15.225,15.23,15.39,15.45,15.2,15.205,15.241,1746991.0,26627282.48,3801.0
2022-12-13,15.425,15.435,15.4,15.615,15.145,15.39,15.362,1642705.0,25232961.74,6255.0
2022-12-12,15.405,15.415,15.5,15.53,15.35,15.37,15.407,941074.0,14499055.14,4167.0
2022-12-09,15.55,15.555,15.44,15.57,15.145,15.51,15.427,1375314.0,21217413.51,4348.0
2022-12-08,15.31,15.32,15.585,15.585,15.235,15.275,15.341,1080086.0,16570766.28,4376.0
2022-12-07,15.58,15.585,15.835,15.85,15.285,15.53,15.545,2660409.0,41364352.41,8620.0
2022-12-05,15.82,15.825,15.945,15.945,15.665,15.865,15.83,1077784.0,17061712.99,4772.0
2022-12-02,15.925,15.94,16.07,16.38,15.86,15.97,16.091,2216585.0,35668611.02,6987.0
2022-12-01,16.02,16.025,15.3,16.075,15.3,16.01,15.873,1941037.0,30807136.52,6691.0
2022-11-30,15.235,15.24,14.98,15.28,14.76,15.215,15.164,3522783.0,53416249.32,5964.0
2022-11-29,14.97,14.985,14.84,15.025,14.785,15.02,14.96,1744830.0,26105954.54,5017.0
2022-11-28,15.015,15.025,15.14,15.14,14.81,14.985,14.966,1309366.0,19595637.81,5537.0
2022-11-25,14.865,14.875,14.77,14.99,14.685,14.835,14.833,1240255.0,18384099.66,3612.0
2022-11-24,14.66,14.675,14.79,14.815,14.505,14.565,14.618,2099596.0,30693289.45,4664.0
2022-11-23,14.605,14.615,14.95,14.965,14.49,14.665,14.694,1054445.0,15494853.67,4333.0
2022-11-22,14.805,14.81,14.83,15.02,14.765,14.77,14.854,961086.0,14275643.86,5020.0
2022-11-21,14.83,14.845,15.03,15.11,14.795,14.83,14.918,795456.0,11866394.4,4960.0
2022-11-18,15.01,15.02,14.75,15.155,14.75,15.06,15.047,835376.0,12570270.63,3469.0
2022-11-17,14.895,14.915,15.205,15.32,14.73,14.865,14.957,1440035.0,21538320.2,5333.0
2022-11-16,15.12,15.35,15.195,15.435,15.06,15.205,15.242,958702.0,14609857.77,5557.0
2022-11-15,15.2,15.21,15.195,15.35,14.975,15.2,15.19,1796480.0,27288753.34,6978.0
2022-11-14,15.03,15.035,14.725,15.3,14.46,15.055,14.906,1918239.0,28592471.39,9153.0
2022-11-11,14.78,14.795,14.67,14.895,14.395,14.67,14.664,2814171.0,41265395.26,9522.0
2022-11-10,14.445,14.455,14.7,14.92,14.055,14.38,14.42,3237664.0,46698260.12,11388.0
2022-11-09,14.725,14.735,14.72,14.82,14.475,14.755,14.705,914209.0,13443154.32,4222.0
2022-11-08,14.765,14.775,14.73,14.885,14.585,14.72,14.712,1024017.0,15063602.16,4853.0
2022-11-07,14.74,14.755,14.4,14.925,14.4,14.71,14.752,1036805.0,15295084.91,4934.0
2022-11-04,14.44,14.45,14.17,14.59,14.17,14.385,14.409,1229471.0,17715570.09,5317.0
2022-11-03,14.105,14.15,14.23,14.555,14.115,14.115,14.24,1160493.0,16526248.35,3861.0
2022-11-02,14.415,14.43,14.31,14.565,14.26,14.43,14.397,1253991.0,18054453.7,4585.0
2022-11-01,14.32,14.345,14.25,14.8,14.25,14.3,14.452,1434993.0,20742139.47,7361.0
2022-10-31,14.195,14.205,13.82,14.245,13.765,14.245,14.122,1096317.0,15483766.01,4647.0
