Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades
2022-12-30,32.06,32.11,32.61,32.63,32.0,32.0,32.168,114850.0,3694629.8,978.0
2022-12-29,32.67,32.7,32.35,32.7,32.16,32.66,32.505,91790.0,2983558.82,920.0
2022-12-28,32.47,32.48,32.47,32.77,32.39,32.47,32.574,74667.0,2432196.41,1102.0
2022-12-27,32.47,32.51,32.76,33.05,32.38,32.45,32.575,146686.0,4778234.61,1372.0
2022-12-23,32.68,32.72,32.4,32.88,32.26,32.64,32.625,122612.0,4000176.64,1067.0
2022-12-22,32.47,32.5,32.88,33.05,32.41,32.48,32.677,165891.0,5422023.3,985.0
2022-12-21,32.71,32.74,32.54,32.91,32.36,32.81,32.72,191145.0,6253765.71,1589.0
2022-12-20,32.41,32.44,32.6,32.84,32.41,32.47,32.587,125563.0,4091732.72,999.0
2022-12-19,32.86,32.88,32.86,33.02,32.51,32.87,32.845,145960.0,4794069.07,1065.0
2022-12-16,32.85,32.87,32.8,33.09,32.53,32.86,32.804,343698.0,11275509.97,3030.0
2022-12-15,32.8,32.82,33.43,33.51,32.75,32.76,32.907,190035.0,6253705.91,1719.0
2022-12-14,33.52,33.54,33.47,33.59,32.78,33.59,33.275,192592.0,6408233.53,1686.0
2022-12-13,33.59,33.63,33.37,34.01,33.37,33.51,33.647,284641.0,9576397.89,1948.0
2022-12-12,33.25,33.28,33.3,33.31,33.02,33.3,33.216,181520.0,6029196.03,1896.0
2022-12-09,33.33,33.34,33.07,33.49,33.0,33.31,33.283,272068.0,9054784.11,2008.0
2022-12-08,32.95,32.97,32.9,33.37,32.64,32.92,33.008,229678.0,7581074.91,2799.0
2022-12-07,32.67,32.69,32.93,32.96,32.47,32.76,32.736,545754.0,17865485.23,3528.0
2022-12-05,33.17,33.21,33.4,33.57,32.73,33.17,33.218,437117.0,14515042.13,3002.0
2022-12-02,33.26,33.29,33.13,33.68,32.86,33.21,33.305,316640.0,10546342.0,3472.0
2022-12-01,33.28,33.29,35.37,35.37,32.95,33.13,33.812,1407379.0,47676958.44,6975.0
2022-11-30,34.98,34.99,36.0,36.51,34.93,35.08,35.323,369820.0,13063920.38,2712.0
2022-11-29,35.95,35.99,36.32,36.55,35.93,36.05,36.101,99538.0,3593388.6,1372.0
2022-11-28,36.32,36.36,36.56,36.68,36.05,36.37,36.308,101717.0,3692937.45,1161.0
