Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades
2022-12-30,28.88,28.91,29.14,29.21,28.76,28.76,28.912,109383.0,3162465.25,748.0
2022-12-29,29.12,29.14,28.68,29.2,28.68,29.17,28.954,67179.0,1944997.87,578.0
2022-12-28,28.83,28.85,29.05,29.19,28.79,28.85,28.983,76886.0,2228506.64,790.0
2022-12-27,28.96,29.01,29.25,29.43,28.95,29.03,29.128,94735.0,2759463.66,819.0
2022-12-23,28.97,28.98,28.9,29.51,28.6,28.98,29.122,147453.0,4295703.05,1257.0
2022-12-22,28.88,28.92,28.9,29.03,28.67,28.86,28.874,185847.0,5366209.54,1318.0
2022-12-21,28.65,28.69,28.51,28.94,28.36,28.79,28.73,181574.0,5216452.55,1320.0
2022-12-20,28.35,28.38,27.85,28.52,27.65,28.45,28.337,203600.0,5769657.48,1519.0
2022-12-19,28.14,28.16,28.1,28.49,27.86,28.18,28.144,127430.0,3586424.48,1256.0
2022-12-16,28.07,28.1,28.14,28.38,27.83,28.1,28.1,109986.0,3090626.36,1208.0
2022-12-15,28.14,28.18,28.66,28.84,28.0,28.15,28.373,153010.0,4341521.8,1301.0
2022-12-14,28.93,28.95,29.46,29.52,28.64,28.95,28.978,131295.0,3805545.34,1162.0
2022-12-13,29.45,29.48,28.8,29.71,28.57,29.46,29.335,187753.0,5508724.41,1593.0
2022-12-12,28.82,28.84,28.85,28.85,28.47,28.8,28.726,89211.0,2562657.65,1109.0
2022-12-09,28.83,28.85,28.55,29.11,28.48,28.91,28.912,139697.0,4038854.57,1249.0
2022-12-08,28.24,28.26,28.13,28.76,28.12,28.31,28.464,185391.0,5282537.28,1316.0
2022-12-07,28.16,28.2,28.36,28.5,27.83,28.14,28.154,197883.0,5572250.04,1957.0
2022-12-05,28.68,28.71,28.94,29.02,28.56,28.69,28.756,91190.0,2622222.34,1173.0
2022-12-02,28.86,28.87,28.61,29.05,28.35,28.91,28.833,184519.0,5320252.98,1769.0
2022-12-01,28.61,28.63,28.38,28.78,28.12,28.5,28.528,283008.0,8073785.29,1878.0
2022-11-30,28.14,28.17,28.0,28.23,27.78,28.03,28.024,191246.0,5359473.93,1658.0
2022-11-29,27.86,27.9,27.9,28.13,27.8,27.9,27.941,121985.0,3408322.09,1223.0
2022-11-28,27.95,27.99,28.1,28.3,27.9,27.9,28.011,82191.0,2302210.47,913.0
2022-11-25,28.35,28.37,28.59,28.62,28.01,28.36,28.278,135434.0,3829820.61,1306.0
2022-11-24,28.45,28.49,28.4,29.05,28.33,28.46,28.663,181399.0,5199828.27,1935.0
2022-11-23,28.3,28.34,28.68,28.68,28.05,28.3,28.251,121945.0,3445086.87,1064.0
2022-11-22,28.5,28.53,28.04,28.55,27.85,28.48,28.339,110031.0,3118165.37,959.0
2022-11-21,28.04,28.06,28.0,28.2,27.6,28.04,27.948,105258.0,2941735.99,985.0
2022-11-18,28.07,28.09,27.9,28.28,27.69,28.11,28.063,115291.0,3235224.9,1357.0
2022-11-17,28.01,28.03,28.25,28.33,27.89,27.89,28.049,173054.0,4853986.68,1862.0
2022-11-16,27.86,28.75,28.67,28.9,28.0,28.25,28.247,204154.0,5767132.32,2163.0
2022-11-15,28.68,28.72,29.42,29.49,28.23,28.61,28.66,200557.0,5747964.87,1868.0
2022-11-14,29.3,29.35,29.36,29.56,28.71,29.28,29.144,237888.0,6933597.15,1747.0
2022-11-11,29.33,29.36,29.34,29.48,28.85,29.31,29.188,297419.0,8680479.23,2383.0
2022-11-10,28.93,28.97,27.86,29.0,27.79,29.0,28.605,314396.0,8992276.68,2929.0
2022-11-09,27.89,27.91,27.8,28.3,27.65,28.0,27.983,331931.0,9287879.26,2764.0
2022-11-08,27.61,27.63,27.2,28.02,27.16,27.62,27.6,316675.0,8740558.74,2912.0
2022-11-07,27.28,27.34,26.2,27.62,26.0,27.26,27.103,340893.0,9238959.36,3231.0
2022-11-04,26.17,26.21,25.72,26.36,25.72,26.24,26.165,163381.0,4274827.37,1748.0
2022-11-03,25.76,25.78,25.33,25.91,25.26,25.71,25.688,221540.0,5690810.29,2515.0
2022-11-02,25.8,25.83,25.83,26.27,25.73,25.77,25.869,566750.0,14661277.3,3358.0
