Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades
2022-12-30,20.63,20.66,20.87,20.9,20.57,20.62,20.705,371486.0,7691422.99,975.0
2022-12-29,20.81,20.84,20.54,20.87,20.49,20.87,20.712,378159.0,7831552.11,1694.0
2022-12-28,20.61,20.62,20.7,20.79,20.48,20.64,20.618,327691.0,6756227.37,1321.0
2022-12-27,20.69,20.72,20.91,20.94,20.62,20.68,20.726,299857.0,6213084.53,1211.0
2022-12-23,20.72,20.74,20.66,20.86,20.61,20.71,20.732,254222.0,5270414.65,971.0
2022-12-22,20.64,20.67,20.86,20.99,20.48,20.63,20.685,439913.0,9098017.98,1840.0
2022-12-21,20.85,20.88,20.5,20.89,20.41,20.83,20.792,809931.0,16839708.44,2229.0
2022-12-20,20.33,20.36,20.29,20.49,20.22,20.36,20.365,799743.0,16286806.84,2161.0
2022-12-19,20.45,20.47,20.36,20.66,20.23,20.5,20.494,679255.0,13920650.91,1996.0
2022-12-16,20.21,20.24,20.32,20.56,20.17,20.36,20.358,1596207.0,32495044.58,3811.0
2022-12-15,20.26,20.28,20.42,20.7,20.23,20.32,20.375,891969.0,18173830.37,3137.0
2022-12-14,20.46,20.48,20.39,20.52,20.24,20.5,20.438,428495.0,8757441.19,1552.0
2022-12-13,20.47,20.5,20.37,20.77,20.17,20.4,20.43,568639.0,11616753.4,2135.0
2022-12-12,20.34,20.37,20.7,20.7,20.17,20.34,20.326,548015.0,11138943.32,2209.0
2022-12-09,20.89,20.91,20.64,21.03,20.6,20.95,20.838,608811.0,12685660.13,1510.0
2022-12-08,20.55,20.56,20.97,21.0,20.18,20.55,20.474,618594.0,12663398.95,3328.0
2022-12-07,20.94,20.96,21.04,21.11,20.79,20.96,20.979,646098.0,13555546.99,3114.0
2022-12-05,21.08,21.11,21.05,21.13,20.86,21.06,21.039,388694.0,8177669.95,1832.0
2022-12-02,21.05,21.06,21.0,21.24,20.82,21.02,21.045,426661.0,8978959.98,2181.0
2022-12-01,21.06,21.07,20.73,21.27,20.73,21.0,21.018,510835.0,10736933.26,2321.0
2022-11-30,20.46,20.49,20.6,20.6,20.28,20.49,20.481,1759233.0,36029955.44,3256.0
2022-11-29,20.57,20.6,20.7,20.74,20.37,20.53,20.54,387472.0,7958866.33,2042.0
2022-11-28,20.65,20.67,21.0,21.06,20.6,20.6,20.705,388573.0,8045904.73,1861.0
2022-11-25,21.04,21.05,21.1,21.18,20.97,21.04,21.061,238991.0,5033291.65,1542.0
2022-11-24,21.14,21.16,20.95,21.28,20.95,21.06,21.108,468315.0,9885670.8,1762.0
2022-11-23,20.97,21.0,21.04,21.05,20.74,20.96,20.905,344542.0,7202449.22,1821.0
2022-11-22,20.94,20.97,21.04,21.06,20.8,20.98,20.977,220117.0,4617303.53,1805.0
2022-11-21,21.04,21.06,21.0,21.17,20.72,21.04,20.991,450830.0,9463087.47,2669.0
2022-11-18,20.99,21.01,21.06,21.13,20.85,21.03,21.026,372806.0,7838005.45,2774.0
