Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades
2022-12-30,48.34,48.37,48.78,48.84,48.3,48.3,48.405,305973.0,14810520.42,1783.0
2022-12-29,48.81,48.82,48.42,48.9,48.23,48.82,48.745,338826.0,16516591.53,1914.0
2022-12-28,48.5,48.51,48.84,48.98,48.48,48.49,48.636,271994.0,13228769.16,2441.0
2022-12-27,48.81,48.84,48.55,49.25,48.44,48.68,48.735,274836.0,13394004.9,3288.0
2022-12-23,48.22,48.24,47.98,48.45,47.71,48.21,48.177,245189.0,11812505.09,2182.0
2022-12-22,48.02,48.04,48.48,48.93,47.82,47.82,48.07,476496.0,22905394.96,3885.0
2022-12-21,48.28,48.34,47.79,48.4,47.75,48.31,48.22,483918.0,23331409.68,3908.0
2022-12-20,47.4,47.52,47.43,48.04,47.17,47.51,47.568,525851.0,25014771.2,3535.0
2022-12-19,47.81,47.83,47.75,47.91,47.34,47.87,47.795,498122.0,23806143.53,3763.0
2022-12-16,47.4,47.45,47.85,48.09,47.14,47.54,47.531,3741449.0,177833718.61,7915.0
2022-12-15,47.82,47.84,48.37,48.37,47.49,47.85,47.912,1009439.0,48364912.92,8257.0
2022-12-14,48.91,48.93,49.16,49.16,47.86,48.96,48.675,603300.0,29341516.92,5385.0
2022-12-13,48.45,48.46,47.85,49.14,47.71,48.36,48.378,739089.0,35754748.15,5772.0
2022-12-12,48.03,48.06,48.4,48.44,47.83,48.05,48.08,396006.0,19040205.33,4138.0
2022-12-09,48.35,48.37,48.17,49.1,48.17,48.6,48.606,587090.0,28537847.51,4799.0
2022-12-08,47.73,47.78,47.87,48.23,47.55,47.82,47.915,423170.0,20276383.26,3646.0
2022-12-07,47.74,47.75,48.3,48.48,47.58,47.61,47.84,669405.0,32039125.07,6352.0
2022-12-05,48.51,48.52,48.7,49.04,48.39,48.69,48.693,579197.0,28202263.17,4236.0
2022-12-02,48.7,48.73,48.37,48.85,47.94,48.65,48.506,490649.0,23798830.94,6114.0
2022-12-01,48.36,48.37,47.98,48.66,47.7,48.37,48.326,580904.0,28065722.55,4932.0
2022-11-30,47.43,47.46,47.71,48.47,47.07,47.51,47.638,1274661.0,60729574.41,8025.0
2022-11-29,48.48,48.57,47.4,48.82,47.4,48.5,48.434,787799.0,38164977.47,6821.0
2022-11-28,46.9,46.95,47.7,47.86,46.37,46.99,46.893,1022626.0,47949481.08,7158.0
2022-11-25,47.56,47.58,47.7,47.94,47.31,47.63,47.659,454715.0,21672023.25,3204.0
2022-11-24,47.6,47.61,46.87,47.76,46.6,47.64,47.47,645450.0,30639080.65,5023.0
2022-11-23,46.47,46.5,47.29,47.29,46.07,46.48,46.459,834823.0,38797055.48,7073.0
2022-11-22,47.15,47.19,47.17,47.32,46.6,47.18,47.02,406294.0,19102793.31,3848.0
2022-11-21,47.16,47.19,47.25,47.41,46.52,47.22,47.064,624833.0,29406313.21,5393.0
2022-11-18,47.37,47.39,47.4,47.62,46.9,47.36,47.352,409304.0,19381429.8,3596.0
2022-11-17,47.22,47.24,47.58,48.06,47.02,47.28,47.36,534785.0,25327787.35,6021.0
2022-11-16,47.38,48.1,48.28,48.48,47.11,47.58,47.526,375989.0,17869958.26,6158.0
2022-11-15,48.36,48.4,50.26,50.52,47.62,48.28,48.354,1168213.0,56488048.22,10284.0
2022-11-14,50.02,50.04,49.92,51.76,49.46,49.82,50.064,1335356.0,66852600.85,12048.0
2022-11-11,49.04,49.11,48.6,49.53,48.46,49.15,49.096,1918059.0,94197520.64,13627.0
2022-11-10,47.85,47.87,45.22,47.89,45.01,47.73,46.983,1626909.0,76431781.52,10287.0
2022-11-09,45.22,45.25,44.39,46.25,44.39,45.44,45.456,1400363.0,63746747.59,7199.0
2022-11-08,44.52,44.55,44.12,47.78,43.76,44.6,44.384,778867.0,34576498.1,6322.0
2022-11-07,44.05,44.1,43.95,44.54,43.69,44.09,44.104,671268.0,29605420.67,5366.0
2022-11-04,44.33,44.36,41.81,44.84,41.81,44.35,44.069,1066854.0,47016331.29,9152.0
2022-11-03,41.58,41.62,42.03,42.32,41.5,41.54,41.703,665611.0,27758038.33,4905.0
2022-11-02,42.3,42.37,42.15,42.91,41.86,42.46,42.423,1340721.0,56875014.15,6408.0
2022-11-01,42.44,42.48,42.06,42.99,42.0,42.42,42.524,1150782.0,48958133.94,8960.0
2022-10-31,41.46,41.48,41.44,41.69,40.81,41.45,41.403,791322.0,32760259.2,7144.0
2022-10-28,41.54,41.57,41.1,42.32,41.0,41.41,41.576,1049425.0,43627730.69,9162.0
2022-10-27,41.49,41.53,40.0,41.57,39.68,41.5,40.991,1123244.0,46035689.42,11108.0
2022-10-26,39.73,39.76,39.16,40.2,39.09,39.9,39.731,717891.0,28522158.83,6777.0
2022-10-25,38.98,39.0,38.9,39.16,37.98,39.14,38.725,605969.0,23468241.25,6200.0
2022-10-24,38.69,38.75,39.36,39.4,37.91,38.75,38.636,824932.0,31872064.29,8500.0
2022-10-21,39.39,39.44,38.8,39.71,38.37,39.37,39.14,537464.0,21035836.97,5327.0
2022-10-20,39.01,39.03,40.13,40.2,38.36,39.1,39.159,965521.0,37803731.66,8568.0
2022-10-19,40.29,40.3,40.75,41.38,40.04,40.3,40.608,610036.0,24778160.43,7692.0
2022-10-18,40.56,40.59,40.0,40.95,39.99,40.62,40.484,507716.0,20551388.97,5921.0
2022-10-17,39.53,39.57,39.09,39.79,38.63,39.59,39.289,769552.0,30248234.27,6365.0
2022-10-14,38.96,38.99,39.13,39.85,37.4,39.09,38.919,1978221.0,76978493.53,13868.0
2022-10-13,38.12,38.19,38.19,38.31,36.72,38.2,37.775,984931.0,37204817.14,9480.0
2022-10-12,38.47,38.5,39.64,39.83,38.46,38.5,38.764,951531.0,36887124.6,5933.0
2022-10-11,39.46,39.52,39.26,39.7,39.09,39.49,39.444,464628.0,18326595.01,5547.0
2022-10-10,39.57,39.59,39.36,40.13,39.29,39.56,39.66,519043.0,20585446.98,4886.0
2022-10-07,39.77,39.79,40.6,41.02,39.57,39.69,39.918,419364.0,16738309.71,4100.0
2022-10-06,40.8,40.9,41.09,41.57,40.7,40.78,40.901,449857.0,18399871.77,4872.0
2022-10-05,41.08,41.09,41.57,41.96,40.77,41.07,41.19,569297.0,23451230.48,5493.0
2022-10-04,41.73,41.76,40.32,41.91,40.27,41.62,41.327,1069991.0,44216188.4,7947.0
2022-10-03,39.94,39.97,39.21,40.18,38.45,40.0,39.643,686591.0,27217240.72,6286.0
2022-09-30,39.71,39.75,38.9,39.79,38.8,39.61,39.54,1188867.0,46989352.29,6780.0
2022-09-29,38.65,38.66,39.15,39.21,38.41,38.65,38.667,521013.0,20145915.41,6730.0
2022-09-28,39.06,39.09,38.19,39.22,38.02,39.21,38.942,689267.0,26841110.75,6360.0
2022-09-27,38.67,38.73,39.02,39.12,38.51,38.66,38.758,791750.0,30686562.14,6140.0
2022-09-26,38.72,38.75,38.35,39.28,38.34,38.78,38.812,606330.0,23537893.63,5978.0
2022-09-23,38.31,38.35,38.42,38.67,37.61,38.28,38.169,568889.0,21713274.79,6636.0
2022-09-22,38.14,38.18,38.76,39.47,38.12,38.18,38.49,916940.0,35270274.32,6429.0
2022-09-21,39.56,39.57,38.6,39.73,38.51,39.5,39.402,907020.0,35737952.57,7170.0
2022-09-20,38.91,38.92,41.02,41.11,38.8,38.8,39.245,1660541.0,65202937.35,11522.0
2022-09-19,41.15,41.19,42.45,42.47,40.56,41.02,41.146,1437810.0,59159378.2,12404.0
2022-09-16,42.17,42.21,40.53,43.03,40.0,43.03,42.912,15669484.0,672393934.4,14136.0
2022-09-15,40.6,40.63,40.96,41.1,40.25,40.72,40.669,1182641.0,48095902.77,7943.0
2022-09-14,40.13,40.16,40.59,40.6,39.85,40.15,40.138,796267.0,31955267.48,6567.0
2022-09-13,40.92,40.93,41.89,41.96,40.76,40.93,41.29,892802.0,36870732.97,7245.0
2022-09-12,41.75,41.78,40.12,41.77,40.06,41.72,41.478,1079244.0,44746322.78,9674.0
2022-09-09,39.96,40.0,39.63,40.56,39.63,40.12,40.196,918770.0,36931743.47,8285.0
2022-09-08,39.58,39.6,39.19,39.82,39.14,39.59,39.505,686321.0,27114856.96,7176.0
2022-09-07,39.2,39.23,38.52,39.24,38.2,39.18,38.997,711088.0,27727288.27,6987.0
2022-09-06,38.79,38.82,38.8,39.2,38.52,38.85,38.847,619208.0,24054357.26,6453.0
2022-09-05,38.86,38.87,39.2,39.36,38.52,38.8,38.87,878027.0,34137804.45,7092.0
2022-09-02,39.98,40.0,39.1,40.0,39.01,39.9,39.601,804742.0,31867977.85,7633.0
2022-09-01,39.2,39.22,39.62,39.99,38.95,39.08,39.302,1272798.0,50108140.92,8487.0
2022-08-31,39.97,39.99,40.56,40.75,39.92,39.92,40.083,1832473.0,73450434.19,7264.0
2022-08-30,40.9,40.95,40.15,41.2,39.85,40.89,40.894,1060305.0,43365133.84,8186.0
2022-08-29,40.13,40.16,39.67,40.39,38.83,40.12,39.901,763074.0,30421901.46,6368.0
2022-08-26,39.88,39.93,40.45,40.76,39.75,39.92,40.158,744449.0,29895984.97,6507.0
2022-08-25,40.27,40.3,40.39,40.58,39.96,40.4,40.362,730573.0,29487215.26,5411.0
2022-08-24,40.33,40.35,39.89,40.34,39.22,40.2,40.053,773717.0,30989024.2,5185.0
2022-08-23,40.16,40.19,40.06,40.37,39.82,40.07,40.069,673814.0,27000597.2,5917.0
2022-08-22,40.35,40.36,41.0,41.0,40.07,40.27,40.391,654216.0,26423952.26,5148.0
2022-08-19,41.15,41.18,41.2,41.96,41.09,41.15,41.376,686574.0,28408496.19,4537.0
2022-08-18,41.68,41.7,40.7,42.07,40.7,41.66,41.632,663055.0,27604786.1,5510.0
2022-08-17,40.72,40.74,42.03,42.24,40.66,40.66,40.98,863324.0,35379347.93,6189.0
2022-08-16,41.98,42.03,41.78,42.07,41.62,41.98,41.944,488870.0,20505181.17,3441.0
2022-08-15,41.58,41.61,41.55,42.08,41.27,41.7,41.687,671734.0,28002107.61,4719.0
2022-08-12,41.47,41.48,42.34,42.41,41.34,41.39,41.593,623157.0,25919495.11,5756.0
2022-08-11,42.21,42.25,42.2,42.6,41.94,42.31,42.296,648038.0,27410024.01,4736.0
2022-08-10,41.84,41.9,41.6,42.28,41.36,41.83,41.804,644740.0,26958471.13,4291.0
2022-08-09,41.73,41.76,42.3,42.37,41.56,41.63,41.731,635127.0,26505112.51,4630.0
2022-08-08,42.28,42.3,42.37,42.83,42.18,42.3,42.343,463335.0,19618970.69,3254.0
2022-08-05,42.3,42.35,43.01,43.23,42.12,42.14,42.374,824708.0,34948565.09,5927.0
2022-08-04,43.02,43.03,42.55,43.61,42.54,43.01,43.049,546907.0,23543778.05,4721.0
2022-08-03,42.46,42.48,42.56,42.6,42.21,42.45,42.436,636188.0,26997340.24,4748.0
2022-08-02,42.64,42.65,43.48,43.48,42.55,42.59,42.686,706713.0,30167924.58,4909.0
2022-08-01,43.63,43.7,44.6,44.69,43.52,43.65,43.852,508943.0,22318603.81,5663.0
2022-07-29,44.55,44.61,43.64,44.64,43.33,44.5,44.208,990611.0,43792315.04,6394.0
2022-07-28,43.27,43.34,43.19,43.59,42.9,43.32,43.216,828760.0,35815671.65,6359.0
2022-07-27,42.91,42.96,44.08,44.17,42.83,42.91,43.23,680039.0,29410761.26,6081.0
2022-07-26,44.08,44.11,43.88,44.48,43.86,44.08,44.163,635005.0,28048053.46,5980.0
2022-07-25,43.97,44.0,43.91,44.52,43.72,44.07,44.144,737943.0,32578848.62,6084.0
2022-07-22,43.81,43.83,44.1,44.3,43.13,43.91,43.777,942547.0,41262864.58,8218.0
2022-07-21,44.42,44.44,45.26,45.69,44.02,44.38,44.568,1004357.0,44767110.98,9128.0
2022-07-20,45.5,45.53,46.03,46.5,45.31,45.5,45.658,1041943.0,47608785.78,8029.0
2022-07-19,45.53,45.58,45.67,45.69,44.85,45.68,45.486,1000774.0,45513819.1,7576.0
2022-07-18,45.58,45.6,46.25,46.45,45.54,45.81,45.869,754016.0,34588700.67,5397.0
2022-07-15,45.66,45.72,45.69,46.03,44.68,45.71,45.525,731841.0,33312054.93,6933.0
2022-07-14,45.79,45.86,44.6,45.98,44.0,45.85,45.497,921186.0,41897942.0,8452.0
2022-07-13,45.8,45.85,46.1,46.37,45.16,45.79,45.782,757762.0,34691207.56,5945.0
2022-07-12,46.52,46.53,45.62,46.59,45.58,46.5,46.314,681439.0,31552599.91,5733.0
2022-07-11,45.95,46.0,46.5,46.52,45.73,46.09,46.053,712099.0,32793559.39,5801.0
2022-07-08,46.98,47.03,47.02,47.19,46.19,47.18,46.974,590913.0,27755468.48,5793.0
2022-07-07,47.23,47.29,45.79,47.85,45.77,47.17,47.113,986062.0,46458282.38,7304.0
2022-07-06,45.61,45.64,45.6,46.91,45.49,45.65,45.842,767617.0,35207733.07,5051.0
2022-07-05,45.36,45.41,46.76,47.67,45.23,45.41,45.739,953295.0,43629273.33,6573.0
2022-07-04,46.41,46.44,46.39,47.08,45.74,46.48,46.489,640676.0,29782473.12,4637.0
2022-07-01,46.07,46.1,45.13,46.36,44.62,46.0,45.942,899492.0,41324143.82,7998.0
2022-06-30,45.33,45.36,44.42,45.36,43.76,45.36,44.945,1002589.0,45049843.98,9379.0
2022-06-29,44.86,44.9,44.63,45.0,44.14,44.86,44.726,606577.0,27126675.87,6231.0
2022-06-28,44.88,44.94,45.73,46.27,44.74,45.08,45.183,724385.0,32730663.32,6290.0
2022-06-27,45.44,45.47,43.29,45.6,43.05,45.6,44.98,1167815.0,52526927.83,9516.0
2022-06-23,42.78,42.81,44.13,44.39,42.42,42.77,43.041,939185.0,40432780.97,9010.0
