Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades
2022-12-30,13.85,13.86,14.05,14.07,13.8,13.8,13.898,136604,1898552.91,602
2022-12-29,14.05,14.07,13.86,14.09,13.72,14.06,13.936,152304,2121818.2,689
2022-12-28,13.87,13.89,13.78,14.11,13.74,13.86,13.891,98845,1373357.68,630
2022-12-27,13.9,13.96,13.95,14.22,13.65,13.84,13.843,137587,1904678.52,745
2022-12-23,13.88,13.9,13.3,14.0,13.3,13.9,13.872,110801,1537036.56,693
2022-12-22,13.74,13.78,13.74,13.88,13.56,13.74,13.741,232013,3188045.52,1098
2022-12-21,13.84,13.87,13.4,13.96,13.39,13.73,13.714,520508,7138130.24,1136
2022-12-20,13.3,13.33,13.46,13.51,13.15,13.29,13.343,768369,10252525.75,2450
2022-12-19,13.52,13.56,13.79,13.86,13.47,13.62,13.629,572283,7799331.48,1705
2022-12-16,13.59,13.63,14.41,14.52,13.39,13.79,13.81,1597548,22062302.06,3316
2022-12-15,14.39,14.41,14.83,14.89,14.35,14.42,14.51,562146,8156614.26,2107
2022-12-14,15.01,15.03,14.86,15.04,14.7,15.0,14.927,244590,3651005.65,967
2022-12-13,14.83,14.85,14.22,15.36,14.14,14.82,14.782,375414,5548515.33,1719
2022-12-12,14.44,14.46,14.67,14.77,14.33,14.42,14.495,279211,4047165.51,1628
2022-12-09,14.7,14.72,14.66,14.9,14.58,14.73,14.739,216134,3185526.91,1324
2022-12-08,14.71,14.73,14.67,14.82,14.37,14.67,14.578,397641,5796875.92,1135
2022-12-07,14.53,14.56,14.73,14.79,14.5,14.55,14.594,307850,4495606.26,1583
2022-12-05,14.88,14.91,14.78,15.11,14.78,14.91,14.928,256933,3835568.14,795
2022-12-02,14.75,14.78,14.51,14.99,14.51,14.78,14.749,158350,2335557.47,920
2022-12-01,14.53,14.55,14.92,14.92,14.46,14.58,14.614,234925,3433183.57,1143
2022-11-30,14.25,14.27,14.45,14.46,14.24,14.28,14.293,319191,4561799.69,1329
2022-11-29,14.29,14.32,14.41,14.55,14.24,14.34,14.348,180308,2587036.54,1170
2022-11-28,14.38,14.41,14.72,14.75,14.31,14.41,14.416,198873,2866872.66,886
2022-11-25,14.66,14.69,14.75,14.9,14.45,14.72,14.65,208645,3056527.68,1141
2022-11-24,14.85,14.88,14.51,15.05,14.51,14.91,14.873,262794,3908297.32,1418
2022-11-23,14.58,14.6,14.65,14.75,14.32,14.6,14.533,173079,2515250.64,1079
2022-11-22,14.76,14.79,14.7,14.9,14.5,14.78,14.757,112996,1667443.15,723
2022-11-21,14.71,14.73,14.85,14.94,14.68,14.76,14.773,161281,2382563.05,786
2022-11-18,14.94,14.97,14.56,14.97,14.42,14.94,14.888,244681,3642716.57,816
2022-11-17,14.62,14.64,14.71,14.83,14.38,14.61,14.594,233159,3402813.56,1013
2022-11-16,14.5,14.91,15.2,15.2,14.63,14.67,14.739,213388,3145047.61,1164
2022-11-15,15.15,15.17,15.31,15.31,14.93,15.1,15.097,332153,5014492.14,2264
2022-11-14,15.25,15.28,15.45,15.45,15.09,15.23,15.273,196654,3003418.49,1623
2022-11-11,15.41,15.44,15.25,15.65,15.05,15.41,15.372,314088,4828623.46,2364
2022-11-10,15.13,15.16,14.44,15.31,14.1,15.17,14.915,347365,5181977.56,1590
2022-11-09,14.61,14.63,14.41,14.63,14.02,14.57,14.471,175761,2543368.75,1369
2022-11-08,14.29,14.32,14.13,14.37,13.9,14.31,14.244,253167,3606053.55,1184
2022-11-07,14.11,14.15,14.4,14.68,14.04,14.13,14.252,355133,5061203.31,1960
2022-11-04,14.53,14.56,13.37,14.83,13.37,14.51,14.222,770600,10963233.73,3189
2022-11-03,12.99,13.04,13.52,13.6,12.91,13.01,13.108,621634,8148350.99,2549
2022-11-02,13.16,13.18,13.6,13.6,13.14,13.22,13.244,305402,4044698.81,1226
2022-11-01,13.53,13.56,13.09,13.87,13.09,13.6,13.664,391381,5349053.22,2322
2022-10-31,13.07,13.11,13.15,13.46,12.95,13.17,13.232,594762,7869755.0,2101
2022-10-28,13.13,13.15,13.67,13.67,13.02,13.15,13.185,230959,3045062.56,1639
2022-10-27,13.65,13.69,13.11,13.69,13.04,13.67,13.46,419920,5648199.31,1384
2022-10-26,13.19,13.22,13.0,13.24,12.79,13.21,13.086,353242,4621760.23,1679
2022-10-25,13.22,13.25,12.55,13.25,12.2,13.24,12.913,294221,3799354.4,1110
2022-10-24,12.38,12.4,12.68,12.79,12.33,12.4,12.462,280177,3491677.99,1086
2022-10-21,12.63,12.66,12.78,12.92,12.34,12.68,12.614,426896,5384825.37,1573
2022-10-20,12.64,12.66,12.66,12.78,12.44,12.7,12.64,372194,4704542.2,1903
2022-10-19,12.67,12.69,13.2,13.2,12.62,12.62,12.711,264451,3361456.04,1564
2022-10-18,13.02,13.04,13.02,13.18,12.86,13.05,13.033,251783,3281738.91,1451
2022-10-17,12.9,12.93,12.72,13.12,12.67,12.97,12.961,334460,4334829.48,1905
2022-10-14,12.67,12.7,12.26,12.79,12.19,12.72,12.587,363900,4580424.9,1870
2022-10-13,11.96,11.99,12.0,12.44,11.62,12.0,11.96,369330,4417093.65,1892
2022-10-12,12.05,12.08,12.01,12.23,11.93,12.09,12.077,366505,4426188.63,1593
2022-10-11,12.27,12.3,12.11,12.34,12.02,12.3,12.245,287715,3522572.17,869
2022-10-10,12.26,12.28,12.23,12.53,12.22,12.27,12.327,267218,3293567.48,1245
2022-10-07,12.35,12.37,12.92,12.92,12.28,12.33,12.495,279738,3496230.55,1334
2022-10-06,12.87,12.88,12.59,13.05,12.58,12.88,12.846,357911,4597784.56,1504
2022-10-05,12.54,12.56,13.19,13.2,12.42,12.56,12.663,336445,4260537.81,1151
2022-10-04,13.16,13.19,13.3,13.32,12.73,13.19,13.09,320691,4197866.43,1322
2022-10-03,13.05,13.07,13.04,13.06,12.59,13.06,12.908,468921,6052815.81,1802
2022-09-30,13.05,13.07,12.69,13.12,12.43,13.12,12.929,581951,7504129.18,1480
2022-09-29,12.63,12.65,12.64,12.68,12.26,12.68,12.549,507314,6365979.5,1915
2022-09-28,12.56,12.59,11.97,12.65,11.67,12.65,12.29,751263,9233052.56,2276
2022-09-27,11.95,11.98,12.3,12.42,11.87,11.97,12.109,502472,6089754.33,1821
2022-09-26,12.21,12.24,12.43,12.43,12.04,12.22,12.241,646140,7910017.96,1591
2022-09-23,12.5,12.52,12.46,12.61,12.11,12.43,12.384,351845,4356980.12,1577
2022-09-22,12.41,12.43,13.0,13.1,12.39,12.45,12.604,334670,4217677.65,1949
2022-09-21,13.23,13.25,12.99,13.51,12.97,13.19,13.234,388080,5139877.41,1801
