Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades
2022-12-30,8.79,8.8,8.87,8.89,8.765,8.765,8.811,198626.0,1750370.64,874.0
2022-12-29,8.86,8.87,8.71,8.895,8.7,8.855,8.841,498153.0,4404444.58,1320.0
2022-12-28,8.715,8.725,8.645,8.75,8.625,8.73,8.696,335578.0,2918163.17,1290.0
2022-12-27,8.635,8.645,8.55,8.655,8.545,8.625,8.615,152610.0,1314734.9,592.0
2022-12-23,8.485,8.505,8.42,8.505,8.38,8.485,8.456,133060.0,1125232.36,591.0
2022-12-22,8.41,8.43,8.48,8.505,8.365,8.415,8.429,236941.0,1997070.94,991.0
2022-12-21,8.45,8.46,8.44,8.5,8.34,8.46,8.449,317154.0,2678811.48,743.0
2022-12-20,8.425,8.435,8.36,8.455,8.275,8.44,8.394,204097.0,1713036.68,615.0
2022-12-19,8.365,8.375,8.345,8.44,8.285,8.375,8.353,232537.0,1942573.38,843.0
2022-12-16,8.315,8.325,8.31,8.35,8.205,8.345,8.305,325864.0,2705689.55,1170.0
2022-12-15,8.335,8.35,8.47,8.47,8.255,8.34,8.335,219727.0,1831527.27,868.0
2022-12-14,8.475,8.495,8.59,8.6,8.32,8.47,8.427,469609.0,3957372.95,1551.0
2022-12-13,8.55,8.565,8.6,8.715,8.545,8.56,8.594,628875.0,5404518.39,1385.0
2022-12-12,8.63,8.64,8.785,8.785,8.555,8.62,8.626,180660.0,1558360.66,878.0
2022-12-09,8.8,8.81,8.61,8.815,8.605,8.815,8.67,723827.0,6275475.93,860.0
2022-12-08,8.58,8.59,8.585,8.665,8.5,8.61,8.598,391652.0,3364064.52,695.0
2022-12-07,8.61,8.625,8.56,8.655,8.455,8.6,8.566,382536.0,3276960.24,907.0
2022-12-05,8.6,8.615,8.625,8.675,8.55,8.6,8.609,175527.0,1511074.53,610.0
2022-12-02,8.605,8.61,8.61,8.68,8.525,8.625,8.626,267848.0,2310498.78,1285.0
2022-12-01,8.6,8.62,8.6,8.7,8.52,8.6,8.61,285105.0,2454703.31,1046.0
2022-11-30,8.455,8.475,8.435,8.545,8.355,8.495,8.488,340709.0,2891913.01,1148.0
2022-11-29,8.425,8.435,8.23,8.51,8.225,8.435,8.431,330718.0,2788247.26,1599.0
2022-11-28,8.235,8.25,8.28,8.305,8.175,8.22,8.22,318090.0,2614724.1,1150.0
2022-11-25,8.315,8.325,8.22,8.345,8.22,8.305,8.292,245076.0,2032058.52,916.0
2022-11-24,8.22,8.23,8.14,8.24,8.12,8.22,8.204,239385.0,1964091.38,1411.0
2022-11-23,8.15,8.16,8.015,8.175,8.005,8.14,8.125,307338.0,2497248.14,1230.0
2022-11-22,8.0,8.01,7.93,8.03,7.9,8.0,7.992,211111.0,1687334.63,886.0
2022-11-21,7.93,7.94,7.93,7.95,7.845,7.93,7.903,289967.0,2291533.55,922.0
2022-11-18,7.94,7.95,7.845,7.95,7.815,7.93,7.904,278205.0,2198960.9,1108.0
2022-11-17,7.765,7.775,7.75,7.84,7.67,7.77,7.745,476655.0,3691617.18,1396.0
2022-11-16,7.765,7.78,7.75,7.785,7.705,7.775,7.74,325526.0,2519542.51,812.0
2022-11-15,7.75,7.765,7.78,7.81,7.705,7.73,7.74,371027.0,2871778.49,1219.0
2022-11-14,7.75,7.76,7.84,7.88,7.74,7.745,7.779,269600.0,2097288.12,1346.0
2022-11-11,7.84,7.855,8.095,8.115,7.8,7.835,7.913,634584.0,5021290.05,2585.0
2022-11-10,7.955,7.965,7.985,8.08,7.84,7.965,7.946,583516.0,4636648.45,2069.0
2022-11-09,7.975,7.985,8.005,8.075,7.96,7.985,8.008,647529.0,5186785.93,1268.0
2022-11-08,7.995,8.005,7.95,8.065,7.925,7.995,8.017,379255.0,3040368.25,1538.0
2022-11-07,7.945,7.95,7.795,7.975,7.785,7.94,7.936,319634.0,2537343.03,1204.0
2022-11-04,7.825,7.84,7.705,7.985,7.705,7.84,7.862,732945.0,5762468.44,2513.0
2022-11-03,7.66,7.675,7.565,7.705,7.525,7.67,7.652,548640.0,4199453.25,1468.0
2022-11-02,7.575,7.59,7.625,7.67,7.545,7.585,7.594,540552.0,4104869.61,2591.0
2022-11-01,7.565,7.58,7.63,7.72,7.535,7.55,7.612,477482.0,3635543.7,1864.0
2022-10-31,7.62,7.63,7.65,7.805,7.575,7.61,7.679,595092.0,4570361.02,2207.0
2022-10-28,7.66,7.67,8.06,8.065,7.395,7.635,7.641,1195278.0,9131693.65,3698.0
