Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades
2022-12-30,9.672,9.68,9.712,9.792,9.612,9.612,9.675,1239564.0,11993374.55,2661.0
2022-12-29,9.76,9.764,9.572,9.802,9.566,9.732,9.724,1722676.0,16733549.35,3404.0
2022-12-28,9.644,9.654,9.746,9.802,9.636,9.636,9.695,1281173.0,12422607.23,3052.0
2022-12-27,9.76,9.766,9.698,9.794,9.67,9.746,9.738,736277.0,7169877.04,2248.0
2022-12-23,9.656,9.66,9.456,9.698,9.456,9.628,9.621,1021996.0,9833023.77,3121.0
2022-12-22,9.492,9.5,9.7,9.712,9.456,9.456,9.541,1227113.0,11708572.02,2742.0
2022-12-21,9.684,9.69,9.29,9.704,9.284,9.688,9.584,2051954.0,19665717.87,5172.0
2022-12-20,9.228,9.232,9.15,9.264,9.102,9.234,9.213,1051983.0,9691741.64,4667.0
2022-12-19,9.212,9.238,9.084,9.312,9.084,9.26,9.252,1221211.0,11299553.84,4333.0
2022-12-16,9.06,9.074,9.164,9.224,8.952,9.084,9.068,2123310.0,19253849.09,5834.0
2022-12-15,9.212,9.216,9.274,9.3,9.144,9.188,9.222,1881313.0,17351348.72,6223.0
2022-12-14,9.368,9.38,9.2,9.382,9.178,9.382,9.34,1850292.0,17283982.41,5029.0
2022-12-13,9.222,9.226,9.002,9.362,8.972,9.186,9.199,1660555.0,15270798.99,5803.0
2022-12-12,8.97,8.974,8.988,9.01,8.928,8.958,8.964,1014364.0,9092875.76,3560.0
2022-12-09,9.014,9.024,9.0,9.046,8.91,9.014,9.009,1098198.0,9893853.55,3366.0
2022-12-08,8.946,8.95,8.958,9.082,8.896,8.948,8.984,1424277.0,12795356.3,5695.0
2022-12-07,8.916,8.922,9.298,9.35,8.888,8.92,8.996,2857028.0,25713340.49,7100.0
2022-12-05,9.27,9.28,9.144,9.298,9.092,9.298,9.254,1901490.0,17595385.4,4976.0
2022-12-02,9.13,9.134,9.046,9.144,8.978,9.114,9.093,1061939.0,9655868.73,4665.0
2022-12-01,9.04,9.044,9.052,9.12,8.894,9.046,9.028,1068305.0,9644945.4,4654.0
2022-11-30,8.976,8.986,8.878,9.032,8.814,8.948,8.948,2806935.0,25116462.83,4933.0
2022-11-29,8.82,8.824,8.892,8.902,8.792,8.814,8.83,922905.0,8149460.36,4263.0
2022-11-28,8.86,8.866,8.958,8.958,8.784,8.856,8.859,1010971.0,8955420.81,5015.0
2022-11-25,8.99,8.994,9.068,9.068,8.894,8.972,8.975,785028.0,7045855.18,2715.0
2022-11-24,9.036,9.04,8.95,9.078,8.95,9.036,9.03,886423.0,8004301.28,2416.0
2022-11-23,8.922,8.93,8.96,8.992,8.852,8.928,8.93,1065272.0,9512698.05,3446.0
2022-11-22,8.922,8.93,8.84,9.024,8.792,8.924,8.944,1937960.0,17332474.75,5672.0
2022-11-21,8.842,8.846,8.77,8.898,8.706,8.836,8.829,1178342.0,10402922.76,3862.0
2022-11-18,8.758,8.762,8.638,8.792,8.612,8.79,8.758,1113056.0,9747581.06,3719.0
2022-11-17,8.672,8.678,8.7,8.802,8.57,8.638,8.649,1200255.0,10381122.14,4425.0
2022-11-16,8.5,8.728,8.712,8.73,8.53,8.674,8.651,1307469.0,11306139.91,4698.0
2022-11-15,8.732,8.738,8.604,8.812,8.578,8.694,8.686,1664391.0,14456540.03,5200.0
2022-11-14,8.596,8.6,8.694,8.706,8.46,8.572,8.579,1914763.0,16426251.63,6013.0
2022-11-11,8.606,8.616,8.784,8.796,8.48,8.642,8.628,4735698.0,40856867.91,11869.0
2022-11-10,8.868,8.874,8.636,8.89,8.542,8.872,8.761,2045218.0,17917053.89,6989.0
2022-11-09,8.676,8.68,8.574,8.712,8.546,8.69,8.65,1838921.0,15905593.37,4979.0
2022-11-08,8.57,8.576,8.496,8.624,8.354,8.6,8.537,1843834.0,15738610.33,6212.0
2022-11-07,8.402,8.408,8.212,8.522,8.13,8.428,8.425,1835465.0,15463750.55,5172.0
2022-11-04,8.258,8.268,7.798,8.346,7.788,8.278,8.18,2887189.0,23611017.8,8874.0
2022-11-03,7.698,7.71,7.73,7.78,7.576,7.714,7.676,1640000.0,12588857.66,6553.0
2022-11-02,7.808,7.814,7.924,8.04,7.798,7.812,7.857,1874731.0,14730026.22,4775.0
2022-11-01,7.902,7.906,7.8,8.08,7.786,7.918,7.936,2029665.0,16107784.12,6846.0
2022-10-31,7.668,7.678,7.79,7.842,7.57,7.682,7.712,2573350.0,19847207.24,7223.0
2022-10-28,7.65,7.664,7.624,7.698,7.302,7.67,7.573,3989363.0,30194880.94,10134.0
2022-10-27,7.52,7.524,7.554,7.626,7.348,7.51,7.494,2823441.0,21159653.75,6676.0
2022-10-26,7.564,7.57,7.546,7.86,7.488,7.578,7.621,3369802.0,25687926.9,7917.0
2022-10-25,7.542,7.546,7.65,7.698,7.418,7.558,7.536,2050653.0,15453553.84,6214.0
2022-10-24,7.608,7.61,7.58,7.686,7.458,7.608,7.599,1473715.0,11197990.17,4172.0
2022-10-21,7.492,7.496,7.4,7.54,7.37,7.522,7.457,2172896.0,16204124.67,6127.0
2022-10-20,7.57,7.578,7.468,7.612,7.41,7.55,7.527,1328250.0,9997959.05,4728.0
2022-10-19,7.464,7.466,7.656,7.708,7.436,7.472,7.52,1607646.0,12091276.58,5734.0
2022-10-18,7.584,7.588,7.72,7.76,7.562,7.596,7.63,1944672.0,14836961.16,5410.0
2022-10-17,7.544,7.548,7.352,7.574,7.26,7.568,7.493,2555559.0,19146998.24,7296.0
2022-10-14,7.312,7.322,7.422,7.514,7.226,7.332,7.352,2068277.0,15206798.93,5306.0
2022-10-13,7.292,7.298,6.984,7.342,6.918,7.29,7.156,2391171.0,17111644.95,7987.0
2022-10-12,7.072,7.08,7.148,7.186,7.0,7.072,7.089,1523281.0,10798439.85,4730.0
2022-10-11,7.112,7.118,7.006,7.12,6.912,7.106,7.068,1454853.0,10281913.99,4004.0
2022-10-10,7.1,7.106,7.036,7.24,6.986,7.108,7.121,983175.0,7002285.89,3609.0
2022-10-07,7.14,7.146,7.334,7.408,7.06,7.144,7.196,1436480.0,10338738.41,4651.0
2022-10-06,7.368,7.372,7.342,7.606,7.292,7.376,7.375,1969253.0,14520933.87,6177.0
2022-10-05,7.554,7.558,7.61,7.686,7.502,7.542,7.558,2145532.0,16216340.39,6554.0
2022-10-04,7.584,7.6,7.28,7.636,7.28,7.612,7.545,2723218.0,20546985.38,7795.0
2022-10-03,7.168,7.18,6.778,7.232,6.648,7.16,7.045,2617853.0,18442985.8,7887.0
2022-09-30,6.864,6.87,6.574,6.896,6.538,6.856,6.781,2789885.0,18912455.74,6543.0
2022-09-29,6.48,6.484,6.648,6.74,6.41,6.494,6.551,2609729.0,17100083.22,6560.0
2022-09-28,6.714,6.72,6.768,6.768,6.432,6.706,6.626,4272378.0,28298247.24,8556.0
2022-09-27,6.86,6.866,7.006,7.092,6.852,6.87,6.932,3215596.0,22293611.13,6233.0
2022-09-26,6.998,7.004,7.132,7.196,6.944,6.992,7.042,2382855.0,16780099.56,5212.0
2022-09-23,7.178,7.182,7.294,7.294,7.04,7.146,7.144,1485292.0,10611010.68,5450.0
2022-09-22,7.304,7.312,7.498,7.618,7.26,7.29,7.377,1727114.0,12747751.66,5226.0
2022-09-21,7.69,7.696,7.55,7.708,7.46,7.674,7.615,1575726.0,11999669.23,5365.0
2022-09-20,7.616,7.626,7.762,7.798,7.584,7.598,7.628,1097439.0,8371366.92,3950.0
2022-09-19,7.74,7.748,7.676,7.76,7.534,7.71,7.672,1064437.0,8164673.58,2892.0
2022-09-16,7.688,7.694,7.862,8.0,7.682,7.71,7.776,3002106.0,23346916.41,6432.0
2022-09-15,8.098,8.108,8.036,8.264,8.036,8.126,8.147,1969718.0,16047289.74,6073.0
2022-09-14,8.076,8.088,8.072,8.142,7.87,8.016,8.017,1766623.0,14163428.65,4385.0
2022-09-13,8.17,8.174,8.352,8.42,8.14,8.14,8.237,2034855.0,16762733.54,7125.0
2022-09-12,8.294,8.3,8.042,8.346,8.018,8.288,8.267,1296178.0,10707451.1,3560.0
2022-09-09,7.946,7.958,7.82,8.048,7.82,7.982,7.976,1254559.0,10006674.31,3510.0
2022-09-08,7.772,7.776,7.698,7.858,7.692,7.778,7.78,1286129.0,10005691.87,3583.0
2022-09-07,7.684,7.696,7.518,7.716,7.474,7.686,7.639,975162.0,7448989.24,4292.0
2022-09-06,7.634,7.644,7.55,7.762,7.534,7.618,7.629,826152.0,6303082.87,2580.0
2022-09-05,7.534,7.538,7.52,7.586,7.448,7.55,7.532,1319822.0,9940587.67,3467.0
2022-09-02,7.702,7.716,7.496,7.716,7.43,7.71,7.627,1431408.0,10917247.27,3784.0
2022-09-01,7.398,7.408,7.75,7.756,7.352,7.412,7.474,1795723.0,13421919.55,4470.0
2022-08-31,7.848,7.854,7.888,7.948,7.77,7.82,7.835,1390968.0,10897744.34,3329.0
2022-08-30,7.848,7.854,7.816,8.168,7.79,7.838,7.928,1444484.0,11452918.61,3720.0
2022-08-29,7.822,7.828,7.75,7.88,7.646,7.816,7.79,1064873.0,8289340.79,3143.0
2022-08-26,7.866,7.874,8.1,8.158,7.846,7.864,7.94,1215808.0,9655241.16,3832.0
2022-08-25,8.054,8.058,8.07,8.118,7.948,8.046,8.038,778358.0,6256266.36,3463.0
2022-08-24,8.02,8.06,7.924,8.052,7.79,8.008,7.972,1220723.0,9731784.71,3468.0
2022-08-23,7.922,7.928,7.87,8.036,7.834,7.924,7.939,985737.0,7826308.4,4107.0
2022-08-22,7.936,7.944,8.16,8.17,7.81,7.93,7.932,1679614.0,13320789.54,4017.0
2022-08-19,8.178,8.186,8.26,8.356,8.162,8.164,8.226,1435091.0,11805104.47,3652.0
2022-08-18,8.35,8.36,8.162,8.428,8.162,8.342,8.328,1365703.0,11374668.47,3183.0
2022-08-17,8.162,8.166,8.488,8.526,8.156,8.166,8.267,1458700.0,12057225.03,3517.0
2022-08-16,8.484,8.488,8.266,8.492,8.266,8.48,8.428,1161610.0,9788848.96,3720.0
2022-08-15,8.216,8.22,8.48,8.526,8.202,8.228,8.311,1603907.0,13328943.91,3629.0
2022-08-12,8.508,8.516,8.48,8.566,8.46,8.474,8.495,1141352.0,9696728.46,2576.0
2022-08-11,8.424,8.43,8.432,8.604,8.4,8.442,8.458,1740498.0,14722912.16,4827.0
2022-08-10,8.432,8.446,7.964,8.456,7.85,8.43,8.27,1722324.0,14244067.67,4702.0
2022-08-09,7.964,7.97,8.058,8.088,7.882,7.964,7.971,1456533.0,11610318.66,4796.0
2022-08-08,8.05,8.058,8.016,8.154,8.016,8.052,8.072,1106536.0,8932336.78,3623.0
2022-08-05,7.91,7.916,8.044,8.1,7.88,7.934,7.957,1123905.0,8943029.16,3660.0
2022-08-04,8.046,8.052,7.932,8.1,7.932,8.044,8.039,777115.0,6246998.65,2347.0
2022-08-03,7.95,7.956,7.912,7.982,7.848,7.936,7.929,920953.0,7302033.83,2006.0
2022-08-02,7.92,7.926,7.958,7.988,7.856,7.918,7.917,1195493.0,9465213.39,4313.0
