Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades
2022-12-30,10.036,10.042,10.088,10.142,10.03,10.03,10.09,3142275.0,31704826.06,5231.0
2022-12-29,10.092,10.094,10.05,10.13,10.012,10.088,10.087,2783431.0,28075429.9,4863.0
2022-12-28,10.054,10.064,10.132,10.14,10.046,10.054,10.084,2492058.0,25129236.31,3975.0
2022-12-27,10.14,10.142,10.142,10.186,10.11,10.116,10.139,2977201.0,30185771.13,4590.0
2022-12-23,10.054,10.06,10.088,10.126,10.022,10.054,10.066,2849092.0,28680067.61,3739.0
2022-12-22,10.062,10.068,10.018,10.154,10.016,10.068,10.08,3578648.0,36072657.39,4421.0
2022-12-21,9.976,9.983,9.93,10.018,9.912,9.996,9.984,6348523.0,63383565.52,8283.0
2022-12-20,9.902,9.908,9.735,9.931,9.695,9.878,9.857,4984133.0,49125862.48,8438.0
2022-12-19,9.766,9.772,9.737,9.855,9.73,9.763,9.784,3823435.0,37409933.53,5817.0
2022-12-16,9.722,9.724,9.757,9.863,9.667,9.728,9.729,15868973.0,154392813.83,16829.0
2022-12-15,9.748,9.755,9.954,9.995,9.75,9.754,9.811,6702270.0,65750551.52,9639.0
2022-12-14,9.994,9.999,9.974,10.036,9.901,10.0,9.979,5135211.0,51245317.76,6371.0
2022-12-13,9.97,9.974,9.898,10.054,9.87,9.948,9.966,7207218.0,71825871.51,8650.0
2022-12-12,9.862,9.866,9.975,9.977,9.785,9.859,9.857,4935776.0,48653789.51,7580.0
2022-12-09,9.975,9.978,9.862,9.998,9.852,9.975,9.945,4565857.0,45406436.49,7640.0
2022-12-08,9.827,9.83,9.858,9.906,9.808,9.83,9.845,3299890.0,32486273.24,5716.0
2022-12-07,9.866,9.871,10.024,10.096,9.84,9.84,9.901,7705766.0,76272729.14,11137.0
2022-12-05,10.07,10.072,10.062,10.154,10.036,10.068,10.09,3360881.0,33912417.68,6523.0
2022-12-02,10.066,10.068,10.098,10.174,10.03,10.062,10.096,6719874.0,67820577.48,11041.0
2022-12-01,10.124,10.13,10.044,10.196,10.036,10.104,10.114,7712018.0,78039685.21,7921.0
2022-11-30,9.998,10.004,10.11,10.15,9.976,10.012,10.036,8718953.0,87460685.82,8761.0
2022-11-29,10.052,10.056,9.965,10.116,9.924,10.048,10.042,5104551.0,51259247.9,8967.0
2022-11-28,9.965,9.967,10.004,10.074,9.961,9.979,9.997,3216573.0,32155182.04,5169.0
2022-11-25,10.1,10.104,10.116,10.146,10.034,10.094,10.093,3525844.0,35586387.88,5869.0
2022-11-24,10.124,10.128,10.16,10.202,10.05,10.116,10.112,3525699.0,35651024.77,5186.0
2022-11-23,10.138,10.14,9.85,10.142,9.836,10.124,10.063,5930581.0,59678711.56,10426.0
2022-11-22,9.812,9.817,9.821,9.882,9.695,9.823,9.803,6098803.0,59775870.08,8730.0
2022-11-21,9.817,9.824,9.863,9.97,9.771,9.804,9.829,4372273.0,42976385.36,8535.0
2022-11-18,9.857,9.862,9.825,9.95,9.808,9.879,9.901,8471039.0,83863089.35,11716.0
2022-11-17,9.788,9.792,9.888,9.928,9.719,9.788,9.803,4616685.0,45259769.44,7943.0
2022-11-16,9.863,9.96,9.863,10.026,9.855,9.9,9.941,3144305.0,31257963.48,8457.0
2022-11-15,9.83,9.838,9.77,9.874,9.741,9.848,9.821,4284985.0,42080550.54,8420.0
2022-11-14,9.762,9.764,9.843,9.87,9.718,9.743,9.779,5549230.0,54274445.66,9443.0
2022-11-11,9.849,9.856,9.9,9.922,9.792,9.843,9.855,6313750.0,62222505.86,11377.0
2022-11-10,9.83,9.833,9.716,9.93,9.703,9.822,9.825,6697388.0,65800404.48,9720.0
2022-11-09,9.755,9.76,9.907,9.974,9.72,9.764,9.794,3360987.0,32917774.55,6047.0
2022-11-08,9.885,9.887,9.768,9.9,9.708,9.888,9.842,4093035.0,40285073.15,7160.0
2022-11-07,9.762,9.766,9.696,9.884,9.682,9.768,9.775,5536014.0,54111655.4,9786.0
2022-11-04,9.724,9.732,9.756,9.813,9.695,9.759,9.762,5350162.0,52230100.68,10495.0
2022-11-03,9.706,9.709,9.634,9.747,9.587,9.703,9.683,4452544.0,43111541.97,9799.0
2022-11-02,9.669,9.673,9.705,9.774,9.625,9.672,9.679,2740218.0,26520967.74,5146.0
2022-11-01,9.633,9.64,9.7,9.808,9.629,9.643,9.687,4951329.0,47963636.52,7958.0
2022-10-31,9.652,9.658,9.75,9.771,9.639,9.676,9.691,4076222.0,39500788.57,8595.0
2022-10-28,9.749,9.754,9.621,9.783,9.608,9.756,9.714,3381237.0,32843947.47,7015.0
2022-10-27,9.712,9.723,9.635,9.761,9.596,9.7,9.679,5080216.0,49170229.19,10355.0
2022-10-26,9.664,9.667,9.826,9.917,9.616,9.673,9.709,5285806.0,51321017.12,10775.0
2022-10-25,9.811,9.816,9.683,9.821,9.604,9.821,9.731,4267776.0,41527659.92,7960.0
2022-10-24,9.621,9.629,9.53,9.684,9.477,9.637,9.602,4430849.0,42545862.5,8880.0
2022-10-21,9.514,9.516,9.395,9.551,9.358,9.498,9.48,6581022.0,62385203.61,10405.0
2022-10-20,9.477,9.485,9.548,9.614,9.348,9.454,9.46,6837613.0,64686122.08,14506.0
2022-10-19,9.476,9.479,9.33,9.494,9.33,9.465,9.418,5430467.0,51145383.77,9039.0
2022-10-18,9.223,9.224,9.234,9.319,9.175,9.216,9.245,5171436.0,47809128.43,9656.0
2022-10-17,9.103,9.107,8.923,9.15,8.896,9.097,9.057,4915109.0,44514061.35,9319.0
2022-10-14,8.921,8.923,8.948,9.021,8.878,8.913,8.943,5801313.0,51879594.46,13555.0
2022-10-13,8.812,8.822,8.709,8.893,8.639,8.818,8.764,6905882.0,60559107.76,11622.0
2022-10-12,8.764,8.768,8.738,8.796,8.628,8.753,8.73,4828546.0,42154134.87,9175.0
2022-10-11,8.726,8.732,8.7,8.795,8.613,8.735,8.709,4540183.0,39538021.68,9125.0
2022-10-10,8.736,8.743,8.748,8.85,8.708,8.747,8.778,4615414.0,40513966.07,8357.0
2022-10-07,8.773,8.78,8.812,8.916,8.75,8.775,8.824,4991680.0,44045110.37,10585.0
2022-10-06,8.814,8.818,8.921,8.982,8.792,8.817,8.867,4330674.0,38400392.22,9579.0
2022-10-05,8.877,8.882,9.07,9.07,8.857,8.877,8.915,5278957.0,47060803.29,10333.0
2022-10-04,9.045,9.05,8.926,9.072,8.891,9.072,9.01,7045079.0,63474897.02,10784.0
2022-10-03,8.814,8.818,8.655,8.881,8.398,8.82,8.65,8415137.0,72785726.21,18336.0
2022-09-30,8.795,8.798,8.7,8.836,8.693,8.8,8.784,7277015.0,63922106.75,12497.0
2022-09-29,8.684,8.688,8.922,8.96,8.609,8.664,8.733,6340187.0,55370802.33,13457.0
2022-09-28,8.976,8.984,9.057,9.117,8.734,8.97,8.919,8146119.0,72651074.32,14863.0
2022-09-27,9.148,9.156,9.22,9.316,9.12,9.133,9.194,5625212.0,51715297.14,11013.0
2022-09-26,9.155,9.161,9.152,9.25,9.015,9.134,9.157,6510773.0,59619048.64,11179.0
2022-09-23,9.279,9.289,9.566,9.569,9.161,9.265,9.321,7564796.0,70516187.54,12438.0
2022-09-22,9.567,9.572,9.333,9.632,9.287,9.566,9.553,7750081.0,74047939.49,11794.0
2022-09-21,9.472,9.476,9.285,9.483,9.173,9.463,9.398,7155899.0,67253660.97,11803.0
2022-09-20,9.304,9.312,9.203,9.524,9.2,9.313,9.357,13071678.0,122305811.44,17248.0
2022-09-19,9.136,9.145,9.27,9.292,8.935,9.105,9.106,12510505.0,113916030.95,20935.0
2022-09-16,9.332,9.334,9.604,9.623,9.143,9.143,9.167,140675854.0,1289623374.21,29405.0
2022-09-15,9.61,9.616,9.62,9.75,9.565,9.634,9.632,10611855.0,102226081.25,16020.0
2022-09-14,9.586,9.59,9.6,9.673,9.545,9.573,9.596,5536357.0,53129370.88,11187.0
2022-09-13,9.648,9.65,9.79,9.816,9.618,9.628,9.69,6803715.0,65928275.96,12881.0
2022-09-12,9.784,9.788,9.63,9.789,9.616,9.769,9.73,5745786.0,55892418.9,13147.0
2022-09-09,9.599,9.6,9.4,9.627,9.38,9.569,9.524,5243644.0,49941258.5,10979.0
2022-09-08,9.338,9.346,9.235,9.39,9.18,9.347,9.308,5085670.0,47335910.71,10277.0
2022-09-07,9.254,9.258,9.183,9.267,9.153,9.227,9.219,4334897.0,39963687.04,9146.0
2022-09-06,9.282,9.285,9.212,9.415,9.208,9.277,9.297,3314046.0,30811283.94,6965.0
2022-09-05,9.216,9.223,9.077,9.249,8.995,9.225,9.171,3800074.0,34847983.21,8598.0
2022-09-02,9.25,9.252,9.1,9.252,9.055,9.221,9.183,4317016.0,39641235.37,8323.0
2022-09-01,9.019,9.021,9.2,9.232,8.989,9.003,9.069,4276559.0,38784268.14,8549.0
2022-08-31,9.267,9.27,9.285,9.361,9.193,9.268,9.28,7953208.0,73803302.79,12925.0
2022-08-30,9.257,9.26,9.286,9.497,9.229,9.237,9.345,5521441.0,51595685.66,10964.0
2022-08-29,9.261,9.265,9.408,9.425,9.19,9.258,9.275,5658316.0,52473168.6,12708.0
2022-08-26,9.484,9.487,9.6,9.653,9.474,9.485,9.565,4139724.0,39597833.52,9331.0
2022-08-25,9.558,9.563,9.5,9.628,9.494,9.574,9.56,4081804.0,39021881.98,8635.0
2022-08-24,9.481,9.49,9.439,9.56,9.439,9.468,9.504,3184457.0,30265982.59,7148.0
2022-08-23,9.462,9.472,9.408,9.519,9.39,9.471,9.473,3990020.0,37798239.87,8126.0
2022-08-22,9.403,9.412,9.6,9.604,9.35,9.408,9.415,3340643.0,31450314.88,7359.0
2022-08-19,9.631,9.633,9.653,9.715,9.604,9.628,9.648,4886143.0,47140455.58,9399.0
2022-08-18,9.675,9.678,9.789,9.815,9.66,9.666,9.724,3422226.0,33276673.31,6843.0
2022-08-17,9.761,9.767,9.905,9.962,9.735,9.794,9.82,3557781.0,34934570.32,7075.0
2022-08-16,9.892,9.895,9.756,9.919,9.75,9.894,9.878,3462098.0,34199557.07,6846.0
2022-08-15,9.742,9.752,9.799,9.815,9.681,9.726,9.735,2390790.0,23273296.28,5218.0
2022-08-12,9.817,9.822,9.779,9.901,9.755,9.799,9.84,2709600.0,26663492.11,6198.0
2022-08-11,9.752,9.756,9.825,9.85,9.746,9.755,9.785,2528108.0,24736758.2,6605.0
2022-08-10,9.798,9.803,9.734,9.83,9.715,9.793,9.782,2453011.0,23995304.15,5402.0
2022-08-09,9.712,9.716,9.755,9.805,9.715,9.75,9.756,2562475.0,25000848.04,5817.0
2022-08-08,9.749,9.755,9.764,9.818,9.707,9.755,9.765,2704338.0,26407302.25,6067.0
2022-08-05,9.73,9.737,9.631,9.757,9.612,9.72,9.701,2852393.0,27670548.46,5111.0
2022-08-04,9.621,9.627,9.643,9.667,9.569,9.637,9.617,3454669.0,33224653.72,6322.0
2022-08-03,9.62,9.624,9.546,9.652,9.528,9.612,9.614,2536285.0,24384552.03,5801.0
2022-08-02,9.545,9.549,9.57,9.642,9.532,9.542,9.568,3387716.0,32412445.87,9246.0
2022-08-01,9.614,9.618,9.611,9.764,9.585,9.599,9.664,4068565.0,39317770.06,8317.0
2022-07-29,9.606,9.611,9.55,9.638,9.523,9.614,9.603,4573095.0,43915218.34,7792.0
2022-07-28,9.546,9.55,9.478,9.55,9.418,9.523,9.507,5721833.0,54397081.13,6296.0
2022-07-27,9.436,9.441,9.445,9.485,9.397,9.407,9.436,3385461.0,31943748.9,7713.0
2022-07-26,9.37,9.373,9.325,9.463,9.308,9.397,9.393,3309116.0,31080655.11,6036.0
2022-07-25,9.319,9.324,9.242,9.398,9.22,9.324,9.326,3972079.0,37044867.4,6336.0
2022-07-22,9.231,9.234,9.438,9.464,9.23,9.242,9.302,4464337.0,41526518.4,9525.0
2022-07-21,9.432,9.436,9.233,9.49,9.188,9.437,9.372,6828723.0,63999445.82,11577.0
2022-07-20,9.277,9.282,9.386,9.5,9.207,9.271,9.315,5086136.0,47378963.26,8969.0
2022-07-19,9.368,9.373,9.052,9.398,8.995,9.349,9.267,8669961.0,80341642.18,17658.0
2022-07-18,9.03,9.031,8.847,9.187,8.674,9.051,8.971,9015514.0,80876719.82,18057.0
2022-07-15,8.543,8.546,8.56,8.63,8.395,8.535,8.489,7593110.0,64456906.3,12358.0
2022-07-14,8.606,8.613,8.629,8.81,8.567,8.594,8.629,5673730.0,48961615.53,9830.0
2022-07-13,8.693,8.698,8.853,8.903,8.657,8.693,8.743,3475769.0,30388240.13,6622.0
2022-07-12,8.881,8.883,8.623,8.883,8.544,8.881,8.725,6520191.0,56886733.89,11851.0
