Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades
2022-12-30,43.13,43.14,43.55,43.89,43.02,43.02,43.246,399469.0,17275372.32,3405.0
2022-12-29,43.82,43.84,43.09,43.9,43.0,43.8,43.594,317858.0,13855451.2,2970.0
2022-12-28,43.42,43.44,43.69,44.05,43.04,43.33,43.572,495186.0,21571284.21,4516.0
2022-12-27,43.74,43.78,44.3,44.45,43.57,43.69,43.81,397315.0,17406939.17,3397.0
2022-12-23,43.91,43.94,43.69,44.12,43.64,43.89,43.921,380474.0,16711187.35,3460.0
2022-12-22,43.94,43.96,44.6,45.23,43.83,43.93,44.289,758388.0,33590809.08,5825.0
2022-12-21,44.62,44.67,46.8,47.42,42.65,44.55,44.897,1671573.0,75002484.68,13757.0
2022-12-20,46.53,46.56,44.86,46.64,44.72,46.49,46.289,858923.0,39754859.63,5532.0
2022-12-19,45.43,45.45,44.69,45.85,44.69,45.39,45.437,612272.0,27820205.36,4521.0
2022-12-16,44.56,44.63,45.45,45.98,44.33,44.61,44.71,1661544.0,74289321.55,8882.0
2022-12-15,45.44,45.5,45.75,46.37,45.33,45.6,45.652,1081362.0,49366800.69,6806.0
2022-12-14,46.23,46.25,46.4,46.54,45.83,46.12,46.152,1119585.0,51671034.94,4260.0
2022-12-13,46.37,46.4,46.0,46.89,45.84,46.2,46.283,987370.0,45705943.25,6410.0
2022-12-12,46.05,46.08,45.52,46.09,45.03,45.81,45.703,845970.0,38662466.81,4760.0
2022-12-09,45.92,45.96,46.0,46.42,45.52,45.74,45.861,706045.0,32381477.5,4268.0
2022-12-08,46.11,46.14,47.06,47.22,45.98,45.98,46.186,767891.0,35468158.6,5039.0
2022-12-07,47.15,47.2,47.19,48.98,47.02,47.04,47.349,1358896.0,64367687.41,9472.0
2022-12-05,48.58,48.65,48.84,49.6,48.41,48.68,48.878,497873.0,24337799.15,4879.0
2022-12-02,48.54,48.58,48.02,50.4,47.85,48.84,48.95,1229249.0,60166045.09,10777.0
2022-12-01,48.28,48.31,49.34,49.68,48.08,48.16,48.518,1159266.0,56250587.35,9683.0
2022-11-30,48.63,48.66,46.99,49.34,46.93,49.34,49.163,2851126.0,140165697.63,10599.0
2022-11-29,46.67,46.84,47.3,47.38,46.53,46.69,46.794,717469.0,33573999.68,5520.0
2022-11-28,46.96,46.99,46.95,47.18,46.6,46.91,46.929,695083.0,32620863.14,5600.0
2022-11-25,47.7,47.74,47.47,48.01,47.45,47.77,47.741,482379.0,23028499.25,3768.0
2022-11-24,47.39,47.42,47.19,47.61,46.88,47.33,47.317,465079.0,22006306.16,3416.0
2022-11-23,47.12,47.14,46.07,47.14,46.04,47.08,46.816,634070.0,29682306.23,6044.0
2022-11-22,45.97,45.99,46.04,46.22,45.37,46.07,45.992,662819.0,30483980.96,5819.0
2022-11-21,45.26,45.35,45.2,45.79,44.88,45.35,45.324,668305.0,30289887.24,6729.0
2022-11-18,45.04,45.09,45.41,45.76,44.74,45.24,45.205,464009.0,20976306.69,4293.0
2022-11-17,44.9,44.95,45.64,46.36,44.31,45.04,45.147,686455.0,30991167.93,6295.0
2022-11-16,45.6,46.78,46.86,47.16,45.61,45.97,46.327,385028.0,17838934.36,6043.0
2022-11-15,46.71,46.76,46.78,47.15,46.34,46.82,46.743,739868.0,34580828.03,5502.0
2022-11-14,46.96,46.98,46.79,47.46,46.65,46.83,46.978,532547.0,25020317.09,3844.0
2022-11-11,46.85,46.91,46.78,47.38,46.25,46.74,46.831,694936.0,32544866.15,6631.0
2022-11-10,46.12,46.14,45.83,46.89,45.52,46.1,46.21,662145.0,30597679.21,6766.0
2022-11-09,46.07,46.11,46.3,46.41,45.83,46.04,46.06,452877.0,20859396.41,4257.0
2022-11-08,46.38,46.44,46.3,46.75,45.65,46.39,46.296,634274.0,29364184.49,5130.0
2022-11-07,46.55,46.59,45.0,46.63,44.95,46.6,46.116,710288.0,32750935.29,7151.0
2022-11-04,45.66,45.7,44.37,45.86,44.37,45.47,45.422,674029.0,30615241.58,6448.0
2022-11-03,44.21,44.25,44.2,44.52,43.66,44.18,44.153,468973.0,20706716.2,5373.0
2022-11-02,44.71,44.75,44.64,45.64,44.33,44.63,44.801,1155344.0,51760930.3,7689.0
2022-11-01,44.65,44.68,44.67,45.71,44.52,44.64,44.913,763908.0,34313955.17,7954.0
2022-10-31,44.24,44.27,43.53,44.54,42.67,44.34,44.08,1104775.0,48698520.82,8860.0
2022-10-28,43.35,43.39,44.54,44.84,42.87,43.57,43.705,1446929.0,63232096.11,10338.0
2022-10-27,45.34,45.37,45.88,46.68,43.81,45.46,45.289,2622472.0,118768349.21,24921.0
2022-10-26,48.8,48.83,47.5,48.9,47.02,48.69,48.357,702366.0,33962021.34,8379.0
2022-10-25,47.8,47.87,47.05,48.28,46.86,47.72,47.676,877139.0,41816727.41,6981.0
2022-10-24,47.02,47.06,46.24,47.37,45.62,47.01,46.7,686591.0,32063958.92,6428.0
2022-10-21,46.04,46.09,45.33,46.62,45.04,46.24,46.02,738845.0,34007562.35,5945.0
