Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades
2022-12-30,4.338,4.34,4.385,4.385,4.327,4.327,4.34,6447580.0,27984747.09,4554.0
2022-12-29,4.393,4.394,4.34,4.394,4.324,4.391,4.361,6889020.0,30043539.27,5347.0
2022-12-28,4.334,4.335,4.389,4.396,4.328,4.336,4.344,5001175.0,21726430.52,6234.0
2022-12-27,4.386,4.388,4.386,4.415,4.361,4.38,4.388,4860672.0,21329623.13,4495.0
2022-12-23,4.366,4.369,4.359,4.394,4.35,4.364,4.37,4284848.0,18723928.04,4476.0
2022-12-22,4.345,4.347,4.383,4.427,4.334,4.35,4.367,8104319.0,35389954.81,7690.0
2022-12-21,4.385,4.387,4.35,4.391,4.34,4.382,4.375,7932404.0,34704193.16,6828.0
2022-12-20,4.335,4.336,4.3,4.374,4.281,4.338,4.337,8749933.0,37955154.38,8074.0
2022-12-19,4.375,4.376,4.366,4.409,4.365,4.368,4.377,7728531.0,33830993.61,6453.0
2022-12-16,4.356,4.359,4.51,4.539,4.349,4.36,4.381,30797835.0,134934452.02,17386.0
2022-12-15,4.525,4.527,4.69,4.711,4.524,4.538,4.574,16014600.0,73257028.4,14198.0
2022-12-14,4.709,4.711,4.732,4.738,4.65,4.708,4.701,12210935.0,57404397.39,6952.0
2022-12-13,4.732,4.734,4.66,4.813,4.66,4.729,4.738,15409786.0,73008950.92,12594.0
2022-12-12,4.658,4.659,4.644,4.67,4.605,4.65,4.644,7101682.0,32980497.07,9570.0
2022-12-09,4.7,4.7,4.655,4.717,4.638,4.689,4.686,10429714.0,48872808.08,9667.0
2022-12-08,4.65,4.651,4.58,4.656,4.548,4.646,4.609,11392914.0,52509033.24,11272.0
2022-12-07,4.597,4.6,4.66,4.683,4.596,4.596,4.616,12521138.0,57816682.57,11097.0
2022-12-05,4.73,4.732,4.822,4.822,4.72,4.72,4.743,10275572.0,48732206.39,10425.0
2022-12-02,4.836,4.839,4.789,4.88,4.78,4.838,4.832,11787045.0,56953054.31,11810.0
2022-12-01,4.787,4.788,4.726,4.802,4.717,4.79,4.782,13867334.0,66309367.4,12289.0
2022-11-30,4.643,4.644,4.593,4.653,4.578,4.653,4.647,23986558.0,111451257.69,11258.0
2022-11-29,4.565,4.566,4.6,4.606,4.556,4.571,4.577,7862922.0,35990997.01,10274.0
2022-11-28,4.599,4.601,4.644,4.675,4.582,4.582,4.6,11571223.0,53223273.18,9887.0
2022-11-25,4.68,4.682,4.675,4.706,4.652,4.686,4.679,7140056.0,33409229.32,8269.0
2022-11-24,4.677,4.679,4.657,4.706,4.654,4.676,4.675,5943949.0,27789404.7,5965.0
2022-11-23,4.676,4.679,4.65,4.687,4.631,4.682,4.672,9212580.0,43043578.93,9347.0
2022-11-22,4.655,4.656,4.62,4.698,4.61,4.655,4.659,8532281.0,39750675.4,8980.0
2022-11-21,4.628,4.632,4.661,4.667,4.606,4.621,4.626,7405563.0,34256060.32,10268.0
2022-11-18,4.695,4.697,4.589,4.697,4.572,4.697,4.664,13698767.0,63888975.17,12624.0
2022-11-17,4.563,4.565,4.55,4.594,4.515,4.575,4.563,9863010.0,45001332.34,9549.0
2022-11-16,4.566,4.65,4.661,4.707,4.568,4.586,4.618,6959208.0,32133028.59,12116.0
2022-11-15,4.669,4.671,4.636,4.675,4.628,4.672,4.661,9831566.0,45821448.55,9905.0
2022-11-14,4.607,4.608,4.609,4.648,4.593,4.607,4.614,8382342.0,38676625.51,10429.0
2022-11-11,4.599,4.6,4.58,4.616,4.535,4.602,4.582,17091984.0,78321258.1,15952.0
2022-11-10,4.552,4.554,4.382,4.563,4.382,4.563,4.512,14694893.0,66299426.68,15703.0
2022-11-09,4.458,4.459,4.493,4.507,4.44,4.452,4.463,9192952.0,41030028.95,9744.0
2022-11-08,4.504,4.507,4.444,4.536,4.444,4.509,4.501,10296051.0,46339002.73,11371.0
2022-11-07,4.425,4.427,4.372,4.436,4.363,4.431,4.419,9577667.0,42323495.76,13768.0
2022-11-04,4.401,4.404,4.385,4.452,4.369,4.397,4.405,11431596.0,50359778.45,10152.0
2022-11-03,4.373,4.374,4.44,4.452,4.361,4.361,4.386,8411369.0,36892098.09,8805.0
2022-11-02,4.47,4.471,4.503,4.52,4.452,4.478,4.479,9552761.0,42788522.97,8659.0
2022-11-01,4.496,4.499,4.51,4.527,4.474,4.491,4.496,8611755.0,38719759.71,9536.0
2022-10-31,4.499,4.501,4.454,4.508,4.438,4.507,4.492,15158446.0,68091235.27,13331.0
2022-10-28,4.457,4.457,4.38,4.468,4.37,4.45,4.43,9876927.0,43749029.63,10396.0
2022-10-27,4.473,4.475,4.459,4.501,4.454,4.454,4.469,11939979.0,53359040.96,14565.0
2022-10-26,4.486,4.487,4.449,4.497,4.422,4.489,4.467,10489215.0,46855047.29,13820.0
2022-10-25,4.484,4.487,4.378,4.529,4.354,4.478,4.453,17535693.0,78004887.13,16724.0
2022-10-24,4.355,4.357,4.313,4.445,4.252,4.357,4.359,15900717.0,69314399.54,17034.0
2022-10-21,4.28,4.281,4.282,4.351,4.222,4.307,4.292,24193171.0,103843748.14,21916.0
2022-10-20,4.4,4.402,4.6,4.6,4.213,4.386,4.399,46280559.0,203584303.44,47933.0
2022-10-19,4.755,4.756,4.82,4.82,4.73,4.747,4.757,12360611.0,58800340.87,11873.0
2022-10-18,4.772,4.775,4.78,4.863,4.768,4.774,4.802,14567298.0,69950657.92,19367.0
2022-10-17,4.714,4.718,4.642,4.78,4.642,4.718,4.719,13606964.0,64215019.41,16751.0
2022-10-14,4.619,4.623,4.627,4.703,4.6,4.619,4.638,11154395.0,51732715.91,14566.0
2022-10-13,4.61,4.612,4.501,4.626,4.474,4.617,4.563,18699975.0,85331683.58,19789.0
2022-10-12,4.523,4.527,4.505,4.58,4.491,4.536,4.536,16274938.0,73823781.56,13928.0
2022-10-11,4.501,4.503,4.47,4.52,4.445,4.505,4.491,10075020.0,45245129.06,12079.0
2022-10-10,4.504,4.507,4.5,4.55,4.479,4.498,4.511,7693058.0,34704528.45,10949.0
2022-10-07,4.539,4.541,4.584,4.612,4.519,4.526,4.547,9297706.0,42276776.51,9258.0
2022-10-06,4.61,4.612,4.626,4.659,4.583,4.601,4.61,8539587.0,39366810.55,12244.0
2022-10-05,4.625,4.626,4.638,4.647,4.572,4.615,4.607,9474592.0,43646037.2,12905.0
2022-10-04,4.635,4.639,4.516,4.649,4.513,4.649,4.619,14003170.0,64683407.57,13487.0
2022-10-03,4.495,4.501,4.406,4.533,4.368,4.503,4.47,13263264.0,59286569.97,16434.0
2022-09-30,4.426,4.428,4.369,4.43,4.355,4.421,4.407,17426116.0,76790849.73,13352.0
2022-09-29,4.361,4.362,4.453,4.462,4.335,4.364,4.376,17550992.0,76809737.1,17356.0
2022-09-28,4.472,4.474,4.38,4.479,4.313,4.479,4.429,15996464.0,70851506.81,13970.0
2022-09-27,4.405,4.408,4.396,4.484,4.393,4.41,4.428,15914674.0,70463570.57,17086.0
2022-09-26,4.388,4.39,4.352,4.432,4.323,4.379,4.382,10727878.0,47009335.45,12782.0
2022-09-23,4.387,4.393,4.49,4.504,4.313,4.373,4.384,16674345.0,73104474.09,20650.0
2022-09-22,4.501,4.503,4.549,4.594,4.494,4.494,4.519,13237291.0,59821860.28,14231.0
2022-09-21,4.621,4.623,4.587,4.626,4.52,4.615,4.595,13964919.0,64163291.7,15575.0
2022-09-20,4.599,4.601,4.619,4.662,4.555,4.6,4.603,18727657.0,86199645.1,17285.0
2022-09-19,4.597,4.6,4.634,4.636,4.506,4.589,4.578,21584090.0,98812769.03,21582.0
2022-09-16,4.663,4.666,4.866,4.887,4.589,4.589,4.604,215182344.0,990632086.94,32781.0
2022-09-15,4.913,4.915,5.044,5.046,4.892,4.909,4.937,15255768.0,75316172.29,17417.0
2022-09-14,4.975,4.977,5.062,5.08,4.946,4.97,4.984,13171049.0,65639884.08,14932.0
2022-09-13,5.061,5.062,5.127,5.198,5.056,5.062,5.103,15829808.0,80782264.49,17487.0
2022-09-12,5.117,5.119,5.07,5.144,5.07,5.104,5.107,11902545.0,60784113.8,11804.0
2022-09-09,5.076,5.08,5.021,5.086,5.021,5.07,5.063,8791904.0,44511395.45,9612.0
2022-09-08,5.017,5.019,5.018,5.061,4.943,5.01,5.003,8579467.0,42922446.52,9970.0
2022-09-07,5.006,5.009,4.959,5.048,4.956,5.002,5.005,8749837.0,43795938.35,11599.0
2022-09-06,5.008,5.01,5.021,5.077,4.967,5.002,5.016,9190969.0,46105382.01,11487.0
2022-09-05,5.006,5.007,4.97,5.068,4.962,5.021,5.014,8040952.0,40318333.59,9530.0
2022-09-02,5.066,5.068,5.0,5.073,4.98,5.06,5.033,11505204.0,57907155.25,12967.0
2022-09-01,4.987,4.992,4.973,5.127,4.973,4.979,5.026,19410528.0,97593966.52,19105.0
2022-08-31,5.034,5.037,4.832,5.084,4.826,5.012,4.997,24259306.0,121234002.63,20055.0
2022-08-30,4.805,4.809,4.808,4.862,4.801,4.801,4.822,6069487.0,29267738.38,8452.0
2022-08-29,4.802,4.804,4.89,4.924,4.801,4.805,4.825,8994612.0,43396314.23,10449.0
2022-08-26,4.943,4.946,5.044,5.053,4.925,4.946,4.965,9288507.0,46116574.72,9450.0
2022-08-25,5.012,5.016,4.986,5.044,4.962,5.012,5.007,5440421.0,27242004.6,6780.0
2022-08-24,4.975,4.977,4.935,4.983,4.925,4.966,4.957,5932635.0,29410251.43,8725.0
2022-08-23,4.974,4.978,4.942,4.99,4.926,4.977,4.965,7314710.0,36315197.28,10948.0
2022-08-22,4.948,4.951,4.993,5.008,4.923,4.953,4.954,8170222.0,40476839.69,11291.0
2022-08-19,4.997,4.997,4.96,5.039,4.96,4.989,4.998,6668273.0,33330117.97,6139.0
2022-08-18,5.048,5.051,4.966,5.057,4.938,5.039,5.016,6734027.0,33780559.6,6522.0
2022-08-17,4.972,4.973,5.069,5.095,4.961,4.973,5.0,7032414.0,35164007.59,6934.0
2022-08-16,5.077,5.079,5.014,5.081,5.004,5.069,5.052,6975653.0,35241865.54,7683.0
2022-08-15,4.98,4.982,5.041,5.056,4.973,4.973,4.994,8049633.0,40202257.31,8097.0
2022-08-12,5.076,5.078,5.069,5.085,5.023,5.06,5.058,7463962.0,37751864.4,7805.0
2022-08-11,5.061,5.063,5.063,5.087,5.044,5.07,5.066,6181129.0,31313418.0,8665.0
2022-08-10,5.053,5.054,4.993,5.074,4.985,5.047,5.041,7560211.0,38106774.13,9252.0
2022-08-09,5.029,5.031,5.117,5.133,5.016,5.019,5.052,8733300.0,44127808.73,8545.0
2022-08-08,5.123,5.127,5.164,5.18,5.123,5.123,5.142,9008699.0,46322475.99,7707.0
2022-08-05,5.109,5.111,5.143,5.143,5.068,5.09,5.101,6826777.0,34824020.55,6843.0
2022-08-04,5.146,5.148,5.148,5.167,5.121,5.151,5.149,7681714.0,39550330.6,9909.0
2022-08-03,5.135,5.136,5.114,5.142,5.074,5.127,5.118,8793666.0,45006075.88,6461.0
2022-08-02,5.102,5.104,5.102,5.137,5.085,5.117,5.111,6901792.0,35277022.37,6341.0
2022-08-01,5.13,5.133,5.07,5.149,5.062,5.138,5.127,7696424.0,39458877.46,9241.0
2022-07-29,5.112,5.114,5.11,5.147,5.088,5.099,5.108,12115614.0,61886299.72,7773.0
2022-07-28,5.125,5.129,5.12,5.129,5.04,5.119,5.106,7029907.0,35896740.7,7851.0
2022-07-27,5.1,5.102,5.031,5.109,5.0,5.093,5.084,10775873.0,54775263.07,9861.0
2022-07-26,5.02,5.023,5.019,5.047,4.987,5.029,5.022,10780567.0,54134210.67,9500.0
2022-07-25,5.008,5.011,4.977,5.044,4.933,5.027,5.016,11787876.0,59132672.93,11319.0
2022-07-22,5.016,5.019,5.012,5.127,4.904,5.013,5.011,14972166.0,75028384.37,15943.0
2022-07-21,4.987,4.988,4.719,5.012,4.718,5.012,4.938,31063795.0,153373674.04,30108.0
2022-07-20,4.582,4.583,4.589,4.603,4.542,4.586,4.577,10022413.0,45865451.99,10523.0
2022-07-19,4.525,4.527,4.522,4.534,4.456,4.513,4.501,10762957.0,48443454.29,8843.0
2022-07-18,4.542,4.543,4.58,4.609,4.54,4.543,4.56,8780807.0,40043300.88,8074.0
2022-07-15,4.559,4.56,4.447,4.56,4.439,4.543,4.524,9811007.0,44386296.59,10322.0
2022-07-14,4.434,4.438,4.475,4.499,4.387,4.43,4.441,13327622.0,59193522.35,11803.0
2022-07-13,4.553,4.556,4.582,4.6,4.509,4.551,4.542,9403761.0,42714573.55,11033.0
2022-07-12,4.621,4.623,4.581,4.628,4.567,4.623,4.604,8085105.0,37220613.9,8593.0
2022-07-11,4.612,4.614,4.551,4.623,4.542,4.601,4.59,6470543.0,29699137.83,5836.0
