Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades
2022-12-30,51.24,51.26,52.7,52.7,51.24,51.24,51.464,134166.0,6906573.16,1216.0
2022-12-29,52.58,52.62,52.26,52.7,52.0,52.7,52.532,111685.0,5866754.07,1356.0
2022-12-28,52.14,52.18,52.48,52.56,51.88,52.26,52.236,137208.0,7167085.15,1916.0
2022-12-27,52.54,52.58,53.22,53.22,52.48,52.48,52.773,112293.0,5926054.99,1394.0
2022-12-23,53.32,53.36,53.72,54.08,53.12,53.22,53.356,89970.0,4800426.15,1137.0
2022-12-22,53.84,53.88,53.42,54.18,53.36,53.72,53.846,297114.0,16013852.98,2107.0
2022-12-21,53.62,53.66,53.0,53.7,52.4,53.42,53.229,381711.0,20316541.98,2543.0
2022-12-20,53.14,53.2,51.5,53.22,51.5,52.86,52.782,506853.0,26753201.66,2972.0
2022-12-19,51.78,51.82,51.48,51.96,51.22,51.74,51.707,254736.0,13171587.36,2430.0
2022-12-16,51.52,51.58,49.97,52.12,49.8,51.52,51.479,587170.0,30227034.17,5582.0
2022-12-15,50.06,50.1,50.44,50.78,49.9,49.97,50.162,309180.0,15509121.06,1554.0
2022-12-14,50.34,50.38,50.74,50.74,49.77,50.44,50.336,232290.0,11692487.65,2192.0
2022-12-13,50.82,50.84,51.12,51.3,50.2,50.72,50.746,472271.0,23979853.84,3239.0
2022-12-12,51.16,51.2,50.2,51.36,50.18,51.08,51.001,426577.0,21705445.12,3167.0
2022-12-09,50.28,50.34,50.26,50.74,50.16,50.34,50.401,308714.0,15559707.44,2282.0
2022-12-08,50.28,50.34,50.7,50.82,49.81,50.26,50.219,246634.0,12385658.35,3558.0
2022-12-07,50.78,50.82,51.06,51.72,50.64,50.64,50.836,407452.0,20715605.38,4025.0
2022-12-05,51.16,51.2,51.6,51.9,51.02,51.12,51.199,199178.0,10197721.36,2299.0
2022-12-02,51.72,51.76,51.4,51.78,50.78,51.72,51.535,166684.0,8590066.69,2268.0
2022-12-01,51.38,51.4,50.76,51.44,50.36,51.4,51.236,220980.0,11321715.37,3077.0
2022-11-30,50.52,50.58,50.46,50.96,50.08,50.74,50.729,1083557.0,54967472.07,4034.0
2022-11-29,50.22,50.26,49.8,50.58,49.68,50.42,50.324,210541.0,10595236.59,2574.0
2022-11-28,49.73,49.77,48.92,49.82,48.9,49.79,49.635,175129.0,8692329.08,2460.0
2022-11-25,48.83,48.9,49.07,49.3,48.65,48.98,48.945,116487.0,5701429.33,1614.0
2022-11-24,48.95,48.97,49.04,49.07,48.18,49.07,48.816,129129.0,6303349.73,2033.0
2022-11-23,49.08,49.11,49.15,49.75,48.5,49.13,49.172,151298.0,7439842.28,2599.0
2022-11-22,49.14,49.17,48.6,49.4,48.57,49.22,49.133,150167.0,7378158.86,2922.0
2022-11-21,48.63,48.66,47.37,48.67,47.27,48.6,48.387,231851.0,11218453.13,4323.0
2022-11-18,47.16,47.21,46.84,47.37,46.75,47.37,47.195,125100.0,5903532.82,1496.0
2022-11-17,46.84,46.87,46.95,47.43,46.74,46.82,46.903,181171.0,8497651.48,2190.0
2022-11-16,46.56,47.55,47.15,47.44,46.78,46.99,47.055,121936.0,5737810.44,3215.0
2022-11-15,47.15,47.18,46.8,47.53,46.52,47.36,47.307,266208.0,12593716.33,3373.0
2022-11-14,46.77,46.84,46.67,47.47,46.2,46.84,46.995,213834.0,10049145.27,4162.0
2022-11-11,46.64,46.69,49.23,49.24,46.31,46.67,47.076,240416.0,11318012.5,4126.0
2022-11-10,49.04,49.07,48.44,49.5,48.3,49.1,49.071,288641.0,14163168.93,3562.0
2022-11-09,48.47,48.5,47.36,48.61,47.2,48.61,47.977,278628.0,13367970.97,2562.0
2022-11-08,47.28,47.33,46.74,47.58,46.58,47.33,47.282,195734.0,9254708.71,3652.0
2022-11-07,46.74,46.77,47.01,47.08,46.48,46.75,46.763,187826.0,8783359.62,2321.0
2022-11-04,47.23,47.28,47.52,47.85,47.1,47.21,47.432,235536.0,11171788.09,3465.0
2022-11-03,47.35,47.4,47.23,47.63,46.77,47.49,47.326,238667.0,11295120.43,3003.0
2022-11-02,47.63,47.65,46.54,47.96,46.51,47.47,47.499,469846.0,22317562.96,4290.0
2022-11-01,46.51,46.54,46.79,46.86,45.99,46.54,46.436,190413.0,8841919.2,4005.0
2022-10-31,46.4,46.44,46.03,46.55,45.37,46.55,46.267,351634.0,16268627.04,3026.0
2022-10-28,45.89,45.95,44.75,45.95,44.74,45.93,45.65,249627.0,11395002.26,3609.0
2022-10-27,44.74,44.8,45.88,45.97,44.56,44.82,45.078,324313.0,14619268.68,4135.0
2022-10-26,45.96,46.01,44.6,46.08,44.44,45.93,45.524,297267.0,13532367.97,4417.0
2022-10-25,44.46,44.52,43.26,44.53,43.21,44.47,44.239,365855.0,16185168.11,3381.0
2022-10-24,43.22,43.28,41.95,43.34,41.69,43.26,42.828,258293.0,11062071.68,3919.0
2022-10-21,42.08,42.12,41.96,42.21,40.11,42.13,41.573,533042.0,22160600.63,6373.0
2022-10-20,42.15,42.29,43.29,43.85,40.85,42.25,42.224,504841.0,21314751.47,6333.0
2022-10-19,43.19,43.21,43.58,43.74,43.02,43.29,43.329,281963.0,12215237.76,2955.0
2022-10-18,43.55,43.62,43.5,43.89,43.22,43.58,43.64,230785.0,10071422.2,3710.0
2022-10-17,43.49,43.55,43.52,43.83,43.22,43.43,43.483,178140.0,7745708.49,2244.0
2022-10-14,43.46,43.5,43.21,43.72,43.14,43.5,43.487,166250.0,7229617.87,2314.0
2022-10-13,43.05,43.11,42.0,43.13,42.0,43.0,42.721,313336.0,13385553.96,3159.0
2022-10-12,43.34,43.39,42.92,43.49,42.8,43.34,43.303,194821.0,8436465.04,3005.0
2022-10-11,42.94,43.0,42.61,43.04,42.36,42.92,42.836,165001.0,7067812.78,2269.0
2022-10-10,42.62,42.64,43.38,43.4,42.05,42.63,42.599,183374.0,7811416.73,2989.0
2022-10-07,43.58,43.61,43.63,43.91,43.39,43.7,43.657,158589.0,6923514.08,1735.0
2022-10-06,43.88,43.89,44.11,44.32,43.27,43.82,43.801,162810.0,7131130.19,2140.0
2022-10-05,44.16,44.27,44.29,44.29,43.84,44.24,44.166,155361.0,6861586.25,1495.0
2022-10-04,44.28,44.3,44.62,44.86,44.04,44.4,44.434,253628.0,11269636.68,3248.0
2022-10-03,43.74,43.77,43.23,44.29,42.98,43.64,43.663,268037.0,11703173.66,4355.0
2022-09-30,43.08,43.12,42.4,43.87,42.38,43.08,43.168,381118.0,16451988.18,4312.0
2022-09-29,42.21,42.25,42.4,42.53,41.98,42.16,42.192,247790.0,10454766.25,4290.0
