Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades
2022-12-30,4.744,4.746,4.79,4.802,4.731,4.731,4.759,1212074.0,5768399.71,1720.0
2022-12-29,4.796,4.8,4.727,4.81,4.724,4.798,4.787,1276670.0,6111830.29,1693.0
2022-12-28,4.757,4.758,4.761,4.815,4.738,4.753,4.774,900171.0,4297183.2,1474.0
2022-12-27,4.774,4.78,4.765,4.805,4.747,4.761,4.773,785914.0,3751288.89,1348.0
2022-12-23,4.762,4.764,4.728,4.818,4.726,4.762,4.773,1257423.0,6002172.83,1879.0
2022-12-22,4.727,4.729,4.77,4.786,4.7,4.724,4.741,1293869.0,6134053.0,2278.0
2022-12-21,4.754,4.759,4.655,4.769,4.65,4.763,4.728,1514095.0,7157941.01,2666.0
2022-12-20,4.652,4.654,4.55,4.685,4.531,4.633,4.619,1956769.0,9039061.79,2071.0
2022-12-19,4.592,4.594,4.46,4.613,4.46,4.586,4.579,1858100.0,8508445.82,3114.0
2022-12-16,4.473,4.478,4.703,4.714,4.435,4.48,4.503,3938196.0,17735537.59,6061.0
2022-12-15,4.69,4.695,4.703,4.768,4.691,4.703,4.721,1698398.0,8017875.76,3183.0
2022-12-14,4.756,4.76,4.9,4.9,4.704,4.745,4.77,2452626.0,11698886.68,3827.0
2022-12-13,4.895,4.897,4.8,4.986,4.8,4.888,4.904,2862195.0,14036700.61,5065.0
2022-12-12,4.808,4.813,4.84,4.846,4.778,4.798,4.806,1745673.0,8389106.4,2683.0
2022-12-09,4.869,4.875,4.9,4.919,4.814,4.865,4.868,1710017.0,8324452.18,2689.0
2022-12-08,4.861,4.867,4.829,4.907,4.81,4.863,4.867,1319443.0,6421127.41,2533.0
2022-12-07,4.82,4.829,4.781,4.869,4.755,4.811,4.808,1367789.0,6576134.84,2570.0
2022-12-05,4.822,4.826,4.843,4.896,4.818,4.818,4.852,1394686.0,6768579.02,2957.0
2022-12-02,4.816,4.819,4.784,4.829,4.715,4.82,4.795,1494082.0,7164830.74,2557.0
2022-12-01,4.787,4.788,4.85,4.87,4.752,4.776,4.792,1617503.0,7751419.27,2610.0
2022-11-30,4.771,4.776,4.79,4.883,4.749,4.775,4.799,1997851.0,9586592.44,3090.0
2022-11-29,4.786,4.788,4.628,4.82,4.626,4.787,4.754,2380662.0,11317485.64,2985.0
2022-11-28,4.629,4.633,4.656,4.66,4.61,4.628,4.636,1165023.0,5401040.98,1918.0
2022-11-25,4.684,4.687,4.675,4.704,4.651,4.683,4.68,1026739.0,4805015.53,1895.0
2022-11-24,4.671,4.674,4.692,4.739,4.666,4.666,4.689,1108823.0,5198934.23,1552.0
2022-11-23,4.695,4.699,4.708,4.746,4.67,4.679,4.698,1073318.0,5042262.68,1763.0
2022-11-22,4.684,4.688,4.661,4.727,4.657,4.69,4.697,1407839.0,6613147.47,2246.0
2022-11-21,4.649,4.654,4.7,4.7,4.61,4.647,4.644,1077328.0,5003269.57,1719.0
2022-11-18,4.675,4.676,4.687,4.717,4.66,4.687,4.688,1144511.0,5364909.27,2129.0
2022-11-17,4.678,4.683,4.691,4.762,4.665,4.665,4.701,1080576.0,5080245.51,2302.0
2022-11-16,4.662,4.74,4.806,4.82,4.67,4.728,4.717,1433550.0,6761762.75,2191.0
2022-11-15,4.814,4.816,4.853,4.86,4.752,4.806,4.804,1529113.0,7345437.41,2333.0
2022-11-14,4.824,4.827,4.799,4.875,4.767,4.823,4.822,1936761.0,9339467.31,3331.0
2022-11-11,4.791,4.794,4.84,4.879,4.778,4.781,4.822,2541070.0,12251836.58,3168.0
2022-11-10,4.78,4.785,4.629,4.791,4.601,4.772,4.699,3178894.0,14938179.04,5516.0
2022-11-09,4.721,4.725,4.775,4.799,4.607,4.713,4.7,3220036.0,15132463.08,5144.0
2022-11-08,4.751,4.756,4.737,4.84,4.729,4.76,4.777,3459534.0,16525171.98,6055.0
2022-11-07,4.771,4.778,4.623,4.867,4.6,4.738,4.758,4605146.0,21913062.67,5407.0
2022-11-04,4.669,4.672,4.448,4.739,4.444,4.627,4.603,5625667.0,25895676.56,6901.0
2022-11-03,4.34,4.356,4.171,4.62,4.171,4.334,4.437,12882707.0,57154139.96,14447.0
2022-11-02,4.013,4.017,4.138,4.141,4.002,4.009,4.05,2849377.0,11538732.16,2734.0
2022-11-01,4.125,4.129,4.091,4.137,4.067,4.128,4.113,2335081.0,9605046.21,3753.0
2022-10-31,4.067,4.07,3.99,4.08,3.962,4.063,4.039,1373770.0,5548528.37,2036.0
2022-10-28,4.015,4.019,4.022,4.066,3.988,4.011,4.023,1439498.0,5790586.94,2497.0
2022-10-27,4.107,4.11,4.02,4.126,4.006,4.095,4.068,2264739.0,9212413.56,4604.0
2022-10-26,4.051,4.06,3.949,4.08,3.944,4.056,4.023,2075343.0,8348549.38,3333.0
2022-10-25,3.961,3.966,3.952,3.99,3.885,3.951,3.945,1970659.0,7773326.3,2589.0
2022-10-24,3.951,3.956,3.938,3.972,3.857,3.947,3.931,1607881.0,6319691.43,2792.0
2022-10-21,3.905,3.907,3.842,3.912,3.803,3.91,3.865,1425512.0,5509445.84,1776.0
2022-10-20,3.853,3.857,3.786,3.876,3.722,3.846,3.81,1903539.0,7252848.34,2424.0
2022-10-19,3.807,3.81,3.798,3.865,3.774,3.786,3.822,1782528.0,6813102.71,1967.0
2022-10-18,3.801,3.805,3.81,3.849,3.762,3.8,3.812,1794196.0,6839130.99,2429.0
2022-10-17,3.753,3.755,3.731,3.798,3.712,3.757,3.764,1320359.0,4969386.54,1876.0
2022-10-14,3.724,3.728,3.746,3.796,3.709,3.74,3.746,2923399.0,10950507.74,4159.0
2022-10-13,3.75,3.756,3.65,3.761,3.619,3.761,3.713,2271433.0,8433312.81,2605.0
2022-10-12,3.638,3.641,3.703,3.703,3.592,3.634,3.64,1692341.0,6160278.86,2455.0
2022-10-11,3.68,3.684,3.65,3.702,3.598,3.697,3.665,1602836.0,5874018.11,1816.0
2022-10-10,3.673,3.678,3.583,3.728,3.583,3.673,3.675,1607236.0,5907419.23,1970.0
2022-10-07,3.632,3.637,3.71,3.71,3.606,3.641,3.647,1932193.0,7046501.94,2341.0
2022-10-06,3.739,3.742,3.799,3.817,3.704,3.732,3.748,1161216.0,4352545.0,1882.0
2022-10-05,3.734,3.738,3.85,3.865,3.692,3.73,3.753,1558182.0,5847138.73,2408.0
2022-10-04,3.824,3.831,3.743,3.845,3.711,3.83,3.777,2330180.0,8801282.81,2608.0
2022-10-03,3.677,3.68,3.5,3.689,3.463,3.689,3.605,2508221.0,9043338.24,3422.0
2022-09-30,3.53,3.533,3.53,3.594,3.515,3.54,3.55,2359532.0,8375934.61,3706.0
2022-09-29,3.494,3.497,3.614,3.616,3.473,3.505,3.513,2200763.0,7731829.33,2808.0
2022-09-28,3.595,3.598,3.611,3.614,3.477,3.614,3.557,2700175.0,9603963.11,3081.0
2022-09-27,3.65,3.656,3.64,3.696,3.608,3.658,3.657,1857183.0,6791098.6,2160.0
2022-09-26,3.599,3.603,3.537,3.654,3.517,3.597,3.588,2054459.0,7371830.92,2907.0
2022-09-23,3.592,3.595,3.662,3.69,3.523,3.584,3.586,2393134.0,8580771.69,3063.0
2022-09-22,3.656,3.659,3.64,3.706,3.62,3.65,3.663,1779663.0,6517889.36,2755.0
2022-09-21,3.71,3.714,3.625,3.712,3.612,3.708,3.679,1483322.0,5457273.55,1870.0
2022-09-20,3.625,3.629,3.7,3.736,3.607,3.64,3.646,1634796.0,5959497.92,2287.0
2022-09-19,3.665,3.669,3.69,3.69,3.604,3.675,3.644,1872768.0,6824766.24,2223.0
2022-09-16,3.676,3.683,3.6,3.718,3.58,3.691,3.658,2291370.0,8381777.76,2590.0
2022-09-15,3.627,3.629,3.693,3.72,3.61,3.63,3.654,2482762.0,9073139.83,2659.0
2022-09-14,3.699,3.701,3.739,3.798,3.661,3.697,3.725,2785065.0,10372822.43,2995.0
2022-09-13,3.762,3.764,3.951,3.975,3.751,3.759,3.825,4252112.0,16260994.93,4775.0
2022-09-12,3.955,3.961,3.898,4.016,3.896,3.951,3.971,2644511.0,10499530.52,2879.0
2022-09-09,3.847,3.848,3.844,3.917,3.811,3.855,3.866,1958939.0,7573111.04,2255.0
2022-09-08,3.768,3.769,3.804,3.852,3.75,3.78,3.798,1616001.0,6136721.34,2346.0
2022-09-07,3.785,3.788,3.739,3.792,3.703,3.784,3.755,1459266.0,5478927.6,2287.0
2022-09-06,3.788,3.791,3.789,3.905,3.748,3.803,3.829,1845687.0,7066405.18,2742.0
2022-09-05,3.783,3.786,3.8,3.86,3.753,3.788,3.791,2235117.0,8471814.22,3448.0
2022-09-02,3.906,3.908,3.75,3.913,3.711,3.896,3.83,3183602.0,12190129.41,3705.0
2022-09-01,3.742,3.746,3.962,3.982,3.702,3.748,3.801,5316448.0,20199713.29,5766.0
2022-08-31,4.02,4.024,4.03,4.095,3.995,4.013,4.046,2553712.0,10332169.63,3385.0
2022-08-30,4.003,4.006,4.07,4.109,3.989,3.994,4.041,1660350.0,6709873.65,1910.0
2022-08-29,4.055,4.058,3.95,4.078,3.911,4.063,3.991,2409191.0,9615161.16,3289.0
