Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades
2022-12-30,44.67,44.69,44.1,44.94,43.21,44.5,44.014,108589.0,4779271.45,2088.0
2022-12-29,44.07,44.1,42.2,44.5,41.8,44.17,43.254,109011.0,4715101.74,1878.0
2022-12-28,42.35,42.4,43.34,43.45,41.93,42.36,42.482,97651.0,4148475.99,1738.0
2022-12-27,43.54,43.63,44.29,44.93,43.18,43.6,44.006,60853.0,2677996.32,1121.0
2022-12-23,44.04,44.19,43.79,44.85,43.71,44.16,44.193,57303.0,2532379.87,1197.0
2022-12-22,43.71,43.79,44.03,45.52,43.5,43.79,44.739,104876.0,4690637.51,1586.0
2022-12-21,43.86,44.0,43.6,44.88,43.6,43.99,44.367,85580.0,3796298.37,1330.0
2022-12-20,43.46,43.52,45.38,45.38,43.2,43.34,44.011,133901.0,5888980.94,2213.0
2022-12-19,45.49,45.5,45.8,46.62,45.07,45.57,45.919,97992.0,4500682.63,947.0
2022-12-16,45.6,45.72,47.05,47.42,45.62,45.8,46.425,106607.0,4949750.87,2170.0
2022-12-15,47.3,47.39,48.21,48.58,47.2,47.2,47.745,81491.0,3891275.08,1392.0
2022-12-14,49.22,49.27,48.14,49.52,48.1,49.29,49.069,74131.0,3636860.23,1172.0
2022-12-13,49.03,49.12,47.01,51.0,46.55,49.14,48.891,143330.0,7006863.57,2499.0
2022-12-12,46.99,47.09,46.85,47.18,46.08,46.98,46.739,55674.0,2601458.05,1045.0
2022-12-09,47.35,47.43,46.79,47.79,46.77,47.34,47.321,66697.0,3156144.42,1332.0
2022-12-08,46.19,46.26,46.95,47.7,45.27,46.55,46.171,89507.0,4132606.41,1543.0
2022-12-07,46.8,46.93,47.0,47.63,46.08,46.95,46.817,96337.0,4510865.89,1533.0
2022-12-05,47.97,48.3,47.7,48.45,46.96,48.08,47.765,66269.0,3165504.31,1557.0
2022-12-02,47.6,47.68,47.15,48.92,46.61,47.72,47.652,153488.0,7314091.98,2039.0
2022-12-01,47.08,47.15,47.0,48.48,46.4,46.97,47.382,124761.0,5912039.4,1820.0
2022-11-30,45.12,45.18,44.87,46.14,44.84,45.17,45.399,86864.0,3943552.04,1697.0
2022-11-29,44.84,44.9,45.9,46.32,44.73,44.87,45.119,100669.0,4544731.39,1486.0
2022-11-28,45.6,45.79,46.99,46.99,45.33,45.55,46.034,113416.0,5219744.82,1821.0
2022-11-25,47.55,47.57,48.31,48.72,47.02,47.55,47.555,86599.0,4118311.88,1493.0
2022-11-24,48.5,48.56,49.77,50.5,48.4,48.51,49.311,61697.0,3044333.24,1050.0
2022-11-23,49.38,49.45,49.0,49.5,48.2,49.45,49.115,96522.0,4740190.47,1168.0
2022-11-22,48.52,48.54,47.23,48.91,46.46,48.87,48.13,76226.0,3668531.3,1322.0
