Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades
2022-12-30,48.93,48.94,49.38,49.48,48.82,48.82,48.993,655567.0,32118042.86,3657.0
2022-12-29,49.32,49.34,49.06,49.44,48.85,49.38,49.29,350662.0,17284429.64,3876.0
2022-12-28,49.22,49.24,49.7,49.7,49.2,49.29,49.391,340971.0,16840967.06,4086.0
2022-12-27,49.51,49.53,49.83,49.97,49.48,49.5,49.595,415780.0,20620583.31,3223.0
2022-12-23,49.81,49.83,49.25,49.83,49.25,49.73,49.67,543374.0,26988992.95,4600.0
2022-12-22,49.29,49.32,49.04,49.72,49.04,49.25,49.379,652886.0,32239250.61,5242.0
2022-12-21,49.0,49.03,48.9,49.05,48.59,48.92,48.911,937861.0,45872191.68,7310.0
2022-12-20,48.83,48.84,48.53,49.0,48.3,48.88,48.778,863662.0,42127388.93,6907.0
2022-12-19,48.76,48.78,48.3,48.84,48.3,48.74,48.692,735282.0,35802071.11,4673.0
2022-12-16,48.11,48.12,48.35,48.56,48.0,48.19,48.2,1781916.0,85888297.8,7871.0
2022-12-15,48.28,48.31,48.58,48.77,47.92,48.35,48.369,1199272.0,58008444.71,7178.0
2022-12-14,48.78,48.79,48.79,48.9,48.26,48.75,48.654,1043295.0,50763005.08,6116.0
2022-12-13,48.79,48.8,48.76,49.16,48.65,48.68,48.816,1001719.0,48900253.93,7417.0
2022-12-12,48.62,48.65,49.43,49.46,48.47,48.64,48.759,1016480.0,49567244.7,7133.0
2022-12-09,49.46,49.49,49.03,49.73,49.03,49.44,49.463,686184.0,33940778.8,5489.0
2022-12-08,49.04,49.06,48.64,49.25,48.57,49.0,49.024,749231.0,36731717.88,5606.0
2022-12-07,48.64,48.65,48.5,49.3,48.42,48.59,48.683,1918593.0,93412314.78,10039.0
2022-12-05,48.66,48.68,48.37,48.87,48.35,48.6,48.634,705775.0,34323841.89,4631.0
2022-12-02,48.48,48.5,48.76,48.78,48.28,48.37,48.428,1141320.0,55271701.74,7072.0
2022-12-01,48.74,48.75,48.6,48.84,48.06,48.72,48.669,876879.0,42675151.74,7080.0
2022-11-30,48.39,48.41,48.54,48.93,48.24,48.54,48.547,3939105.0,191232598.27,9328.0
2022-11-29,48.28,48.3,47.6,48.43,47.58,48.33,48.189,886989.0,42742708.45,7001.0
2022-11-28,47.67,47.68,47.9,48.14,47.52,47.62,47.663,774093.0,36896735.2,5479.0
2022-11-25,48.13,48.15,48.32,48.52,47.87,48.07,48.125,595742.0,28669826.86,5831.0
2022-11-24,48.2,48.23,48.4,48.62,48.08,48.08,48.206,847345.0,40847166.63,7247.0
2022-11-23,48.38,48.4,48.21,48.58,48.19,48.34,48.355,669125.0,32355369.54,5678.0
2022-11-22,48.22,48.23,47.65,48.42,47.58,48.15,48.1,786619.0,37836321.18,8185.0
2022-11-21,47.66,47.67,47.77,47.96,47.37,47.63,47.656,662526.0,31573336.92,6496.0
2022-11-18,47.63,47.65,47.2,47.77,47.2,47.77,47.686,593197.0,28287081.79,4042.0
2022-11-17,47.05,47.07,47.64,47.77,46.48,46.99,47.06,881409.0,41480282.56,8099.0
2022-11-16,47.01,47.65,46.83,47.64,46.83,47.64,47.434,508262.0,24111083.75,5246.0
2022-11-15,46.79,46.81,46.7,46.98,46.51,46.83,46.815,679461.0,31808933.24,6045.0
2022-11-14,46.33,46.37,46.5,46.73,45.99,46.36,46.416,861274.0,39976978.23,7662.0
2022-11-11,46.4,46.42,47.61,47.75,46.32,46.32,46.712,1099285.0,51352201.31,10362.0
2022-11-10,47.33,47.39,47.25,47.74,46.94,47.39,47.406,732734.0,34736641.52,6645.0
2022-11-09,47.24,47.25,46.97,47.58,46.96,47.35,47.262,737088.0,34835004.47,6004.0
2022-11-08,46.91,46.93,46.48,47.17,46.44,46.87,46.918,728623.0,34185617.61,5842.0
2022-11-07,46.64,46.65,45.89,46.76,45.89,46.62,46.552,542521.0,25255377.71,5120.0
2022-11-04,45.89,45.91,45.07,46.22,45.06,45.82,45.792,1393646.0,63942615.59,6253.0
2022-11-03,45.4,45.42,44.49,45.51,44.45,45.0,45.03,1542650.0,69459469.69,6822.0
2022-11-02,44.39,44.42,43.74,45.21,43.69,44.32,44.419,1861846.0,82705164.93,15033.0
2022-11-01,46.42,46.44,46.5,47.04,46.42,46.52,46.701,817636.0,38182775.11,7131.0
2022-10-31,46.18,46.21,46.55,46.68,46.1,46.28,46.34,1035219.0,47972901.61,7492.0
2022-10-28,46.54,46.59,46.26,46.63,45.79,46.58,46.425,753937.0,35001086.6,5349.0
2022-10-27,46.68,46.71,46.39,46.81,46.34,46.67,46.613,696942.0,32486326.29,6624.0
2022-10-26,46.5,46.53,46.2,46.53,45.91,46.5,46.294,643205.0,29776395.17,5794.0
2022-10-25,46.16,46.18,46.77,46.77,45.76,46.06,46.066,786048.0,36206411.34,6129.0
2022-10-24,46.45,46.46,45.78,46.77,45.72,46.43,46.323,837693.0,38804299.52,5580.0
2022-10-21,45.62,45.7,45.47,45.77,45.13,45.77,45.552,622190.0,28336702.84,4026.0
2022-10-20,45.64,45.67,45.59,45.94,45.47,45.65,45.649,847523.0,38688426.37,5386.0
2022-10-19,45.48,45.53,45.57,45.8,45.27,45.44,45.496,663997.0,30209039.27,5479.0
2022-10-18,45.37,45.39,45.22,45.73,45.22,45.35,45.476,566488.0,25761820.43,6753.0
2022-10-17,44.98,44.99,44.24,45.26,44.09,44.97,44.887,721181.0,32371741.91,6213.0
2022-10-14,44.21,44.23,44.57,44.76,43.84,44.14,44.194,852233.0,37663075.07,7650.0
2022-10-13,44.07,44.12,44.3,44.32,43.7,44.0,43.998,1075621.0,47325723.83,6853.0
2022-10-12,44.67,44.69,44.62,44.72,44.08,44.64,44.505,1028592.0,45784423.15,5334.0
2022-10-11,44.46,44.51,43.94,44.64,43.76,44.53,44.433,799132.0,35507067.69,6613.0
2022-10-10,44.22,44.26,44.01,44.57,43.79,44.25,44.244,1159837.0,51354866.72,5794.0
2022-10-07,44.3,44.36,44.5,44.86,44.28,44.28,44.463,592835.0,26359845.4,3758.0
2022-10-06,44.57,44.63,45.08,45.55,44.45,44.55,44.707,822545.0,36795567.54,5760.0
2022-10-05,45.23,45.24,45.35,45.54,45.07,45.23,45.247,696134.0,31497094.18,6161.0
2022-10-04,45.18,45.19,44.67,45.31,44.24,45.31,45.033,844192.0,38008579.46,6566.0
2022-10-03,44.45,44.46,43.59,44.47,43.12,44.33,44.009,920065.0,40489855.15,7575.0
2022-09-30,43.77,43.78,43.4,44.18,43.39,43.76,43.777,1000750.0,43810329.48,6085.0
2022-09-29,43.46,43.5,43.49,43.6,43.11,43.4,43.389,790866.0,34315377.31,7536.0
2022-09-28,43.78,43.8,44.38,44.41,43.01,43.78,43.668,1127983.0,49255558.22,7556.0
2022-09-27,44.57,44.63,44.48,44.86,44.38,44.52,44.581,951188.0,42405134.39,7136.0
2022-09-26,44.33,44.35,44.5,44.53,43.68,44.26,44.202,837248.0,37009531.56,6688.0
2022-09-23,44.78,44.79,45.18,45.25,44.09,44.8,44.679,893395.0,39914705.01,5504.0
2022-09-22,45.04,45.05,44.84,45.55,44.69,44.99,45.085,592433.0,26710048.66,4718.0
2022-09-21,45.31,45.34,44.77,45.45,44.64,45.26,45.218,611912.0,27669050.91,4693.0
2022-09-20,44.87,44.88,45.87,46.1,44.7,44.93,45.174,826614.0,37341569.09,6601.0
2022-09-19,45.87,45.9,45.8,45.9,45.36,45.87,45.654,656381.0,29964401.53,5012.0
2022-09-16,45.99,46.0,46.2,46.37,45.83,45.83,45.949,1422559.0,65370847.11,6429.0
2022-09-15,46.55,46.56,46.29,46.58,46.23,46.47,46.463,671976.0,31223075.53,4275.0
2022-09-14,46.28,46.29,46.0,46.31,45.92,46.27,46.21,732388.0,33843290.12,4274.0
2022-09-13,46.22,46.25,45.68,46.37,45.65,46.19,46.154,1131519.0,52223448.05,7667.0
2022-09-12,45.54,45.56,45.9,46.06,45.42,45.54,45.656,785175.0,35852024.37,5881.0
2022-09-09,45.88,45.92,45.25,46.15,45.25,45.91,45.842,859113.0,39383283.93,5735.0
2022-09-08,45.2,45.23,44.76,45.38,44.75,45.21,45.099,733261.0,33068706.08,5320.0
2022-09-07,44.72,44.74,44.41,44.74,44.25,44.68,44.599,818583.0,36507031.89,5106.0
2022-09-06,44.26,44.28,44.29,44.56,44.01,44.19,44.268,552005.0,24436345.58,4866.0
2022-09-05,44.28,44.29,44.1,44.41,43.84,44.29,44.212,537472.0,23763065.73,4104.0
2022-09-02,44.71,44.73,43.98,44.76,43.98,44.74,44.533,681889.0,30365948.82,4807.0
2022-09-01,44.04,44.05,44.76,44.92,43.98,43.98,44.164,1001408.0,44228308.28,7379.0
2022-08-31,45.11,45.14,44.78,45.21,44.6,45.1,45.06,2323324.0,104689491.71,7291.0
2022-08-30,44.65,44.66,44.76,45.06,44.51,44.59,44.714,645220.0,28851143.34,5915.0
2022-08-29,44.5,44.51,44.86,44.87,44.14,44.52,44.465,635818.0,28271616.37,5882.0
2022-08-26,45.0,45.01,45.3,45.45,44.96,44.99,45.152,616244.0,27824603.14,4552.0
2022-08-25,45.33,45.35,45.09,45.43,44.99,45.3,45.245,534407.0,24178961.61,4472.0
2022-08-24,45.06,45.08,44.41,45.1,44.41,44.98,44.92,516858.0,23216975.7,4402.0
2022-08-23,44.67,44.7,44.5,44.84,44.44,44.64,44.658,475334.0,21227517.31,4215.0
2022-08-22,44.68,44.7,44.85,44.91,44.34,44.74,44.627,538013.0,24009678.97,3985.0
2022-08-19,44.93,44.96,44.9,45.19,44.81,44.95,44.966,536959.0,24144750.62,3553.0
2022-08-18,44.96,44.98,44.95,45.16,44.79,44.91,44.948,583973.0,26248591.08,4093.0
2022-08-17,44.93,44.96,45.09,45.33,44.83,44.96,45.031,607350.0,27349136.47,4371.0
2022-08-16,45.09,45.12,45.0,45.35,45.0,45.09,45.127,638484.0,28812825.13,4744.0
2022-08-15,44.95,44.97,44.93,45.07,44.75,44.96,44.922,463029.0,20800078.44,4043.0
2022-08-12,44.86,44.88,45.28,45.29,44.71,44.74,44.916,651707.0,29272454.57,4976.0
2022-08-11,44.98,45.0,45.07,45.44,44.93,45.07,45.11,627891.0,28324416.95,4617.0
2022-08-10,45.05,45.07,44.75,45.33,44.72,44.92,45.0,709958.0,31950208.11,4441.0
2022-08-09,44.82,44.84,44.28,44.98,44.28,44.85,44.84,725607.0,32536160.99,4793.0
2022-08-08,44.24,44.26,44.16,44.5,43.92,44.27,44.25,501749.0,22201969.54,3873.0
2022-08-05,44.29,44.3,44.02,44.62,43.94,44.16,44.287,675936.0,29935768.35,6073.0
2022-08-04,44.19,44.21,43.77,44.42,43.77,44.07,44.172,878723.0,38815638.71,7425.0
2022-08-03,43.66,43.69,42.5,44.19,42.5,43.71,43.677,1703567.0,74406700.72,9710.0
2022-08-02,41.97,41.99,42.55,42.56,41.92,41.94,42.078,910313.0,38306048.97,5317.0
2022-08-01,42.6,42.62,42.12,43.01,42.08,42.71,42.671,797705.0,34039307.91,6377.0
2022-07-29,42.19,42.2,42.03,42.31,41.98,42.14,42.131,907013.0,38213240.96,5108.0
2022-07-28,42.01,42.05,41.7,42.22,41.57,42.03,42.001,707935.0,29733032.13,4425.0
2022-07-27,41.72,41.75,41.62,41.84,41.43,41.55,41.621,472812.0,19679113.81,3866.0
2022-07-26,41.6,41.63,41.05,41.65,41.05,41.55,41.48,614606.0,25492718.63,4141.0
2022-07-25,41.09,41.11,40.97,41.29,40.8,41.05,41.042,554049.0,22738835.61,4238.0
2022-07-22,40.81,40.83,40.65,41.03,40.48,40.85,40.817,619733.0,25303122.45,3541.0
2022-07-21,40.61,40.63,40.22,40.69,40.2,40.63,40.524,596948.0,24190147.91,4164.0
2022-07-20,40.59,40.6,40.85,41.15,40.32,40.49,40.608,826977.0,33582963.41,4786.0
2022-07-19,40.82,40.83,40.34,41.04,40.21,40.71,40.662,672859.0,27357487.0,3616.0
2022-07-18,40.33,40.34,40.06,40.63,40.02,40.34,40.349,882478.0,35607166.65,5783.0
2022-07-15,40.06,40.07,40.19,40.5,39.86,40.0,40.09,809058.0,32434279.83,6623.0
2022-07-14,40.08,40.14,41.0,41.18,39.86,40.07,40.318,908087.0,36618281.68,6019.0
2022-07-13,41.3,41.31,41.52,41.7,40.83,41.21,41.216,1144454.0,47168994.99,6369.0
2022-07-12,42.32,42.33,42.06,42.49,42.0,42.21,42.225,721864.0,30480929.2,4595.0
2022-07-11,42.12,42.14,41.97,42.28,41.88,42.03,42.071,534267.0,22477728.48,3153.0
2022-07-08,42.4,42.43,41.96,42.45,41.91,42.44,42.296,658292.0,27842583.94,4378.0
2022-07-07,41.92,41.96,41.25,41.99,41.25,41.91,41.829,687763.0,28767266.03,5581.0
2022-07-06,41.06,41.08,41.13,41.64,40.91,40.91,41.093,863465.0,35485671.18,5388.0
2022-07-05,40.92,40.95,42.45,42.66,40.84,40.89,41.28,1012248.0,41789139.57,6109.0
2022-07-04,42.3,42.31,42.16,42.65,42.0,42.38,42.348,487527.0,20644417.83,4017.0
2022-07-01,42.15,42.17,41.45,42.17,41.37,42.11,41.971,687992.0,28873996.52,4903.0
2022-06-30,41.53,41.55,41.12,41.61,41.08,41.52,41.482,1345432.0,55810547.57,5833.0
2022-06-29,41.69,41.72,41.9,42.22,41.53,41.61,41.719,980504.0,40907149.47,5679.0
2022-06-28,42.21,42.23,41.62,42.48,41.61,42.24,42.206,923602.0,38979786.43,6634.0
2022-06-27,41.72,41.75,40.5,41.75,40.5,41.62,41.316,1068421.0,44140799.55,7188.0
2022-06-23,40.41,40.43,41.29,41.33,40.26,40.26,40.533,849595.0,34439322.53,7462.0
2022-06-22,41.38,41.4,41.01,41.55,40.74,41.4,41.211,854611.0,35217621.78,6817.0
2022-06-21,41.54,41.58,41.53,41.93,41.41,41.43,41.575,778907.0,32385359.92,5370.0
2022-06-20,41.35,41.38,40.94,41.37,40.57,41.33,41.024,789724.0,32394113.87,6126.0
2022-06-17,41.04,41.06,41.1,41.35,40.52,40.94,40.971,2764162.0,113252181.84,8162.0
2022-06-16,41.13,41.17,41.6,41.6,40.74,41.12,41.091,981112.0,40315723.94,6388.0
2022-06-15,41.91,41.93,40.77,42.08,40.77,41.81,41.696,1406616.0,58646275.8,5703.0
