Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades
2022-12-30,4.887,4.89,4.93,4.951,4.875,4.875,4.918,654918.0,3221158.75,1150
2022-12-29,4.924,4.928,4.87,4.96,4.86,4.93,4.927,462335.0,2278066.76,957
2022-12-28,4.914,4.917,4.85,4.964,4.84,4.913,4.924,858087.0,4224982.68,1254
2022-12-27,4.85,4.856,4.875,4.92,4.846,4.85,4.878,623576.0,3041872.04,990
2022-12-23,4.845,4.847,4.834,4.964,4.828,4.847,4.898,974053.0,4771250.85,1369
2022-12-22,4.82,4.823,5.07,5.07,4.807,4.826,4.89,1331589.0,6511358.23,2107
2022-12-21,5.056,5.064,4.973,5.068,4.946,5.068,5.018,375497.0,1884401.9,619
2022-12-20,4.928,4.934,4.87,4.96,4.764,4.936,4.873,629667.0,3068380.51,1161
2022-12-19,4.894,4.899,4.849,4.982,4.849,4.888,4.92,1017499.0,5006192.23,1732
2022-12-16,4.845,4.85,4.938,4.96,4.809,4.845,4.856,834207.0,4050662.25,1768
2022-12-15,4.953,4.956,5.1,5.122,4.942,4.953,5.017,1239946.0,6220199.38,2093
2022-12-14,5.15,5.156,5.57,5.572,5.082,5.13,5.215,2127583.0,11096151.77,3766
2022-12-13,5.578,5.584,5.554,5.66,5.524,5.576,5.593,469012.0,2623377.44,874
2022-12-12,5.524,5.53,5.538,5.582,5.478,5.508,5.536,252205.0,1396155.19,624
2022-12-09,5.544,5.548,5.516,5.56,5.44,5.538,5.501,425934.0,2343223.91,791
2022-12-08,5.486,5.49,5.368,5.598,5.362,5.488,5.493,698434.0,3836080.94,1153
2022-12-07,5.366,5.372,5.39,5.428,5.332,5.368,5.38,346754.0,1865547.91,733
2022-12-05,5.366,5.372,5.42,5.47,5.366,5.366,5.427,478761.0,2598009.12,939
2022-12-02,5.372,5.374,5.35,5.39,5.306,5.386,5.358,413480.0,2215272.48,888
2022-12-01,5.33,5.338,5.39,5.39,5.26,5.334,5.315,645733.0,3432273.58,945
2022-11-30,5.298,5.304,5.392,5.474,5.282,5.32,5.372,631183.0,3390802.55,892
2022-11-29,5.348,5.354,5.222,5.396,5.214,5.36,5.325,522629.0,2782972.95,714
2022-11-28,5.208,5.218,5.208,5.24,5.17,5.216,5.204,260415.0,1355268.21,467
2022-11-25,5.256,5.262,5.272,5.292,5.244,5.252,5.27,144445.0,761192.0,274
2022-11-24,5.264,5.27,5.268,5.302,5.224,5.272,5.255,367168.0,1929625.83,555
2022-11-23,5.278,5.286,5.29,5.344,5.25,5.278,5.287,364807.0,1928588.26,711
2022-11-22,5.286,5.292,5.144,5.312,5.144,5.29,5.27,668166.0,3521449.95,997
2022-11-21,5.142,5.15,5.182,5.186,5.1,5.14,5.141,239710.0,1232431.66,562
2022-11-18,5.182,5.19,5.128,5.222,5.128,5.188,5.182,268970.0,1393922.39,555
2022-11-17,5.088,5.096,5.13,5.192,5.07,5.1,5.126,226980.0,1163394.58,465
