Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades
2022-12-30,13.2,13.21,13.27,13.33,13.15,13.15,13.203,974321.0,12864571.51,2010.0
2022-12-29,13.305,13.315,13.31,13.35,13.225,13.31,13.294,984405.0,13087591.5,2654.0
2022-12-28,13.36,13.365,13.44,13.55,13.355,13.37,13.427,765507.0,10278841.18,1813.0
2022-12-27,13.455,13.47,13.54,13.595,13.395,13.43,13.453,769855.0,10356517.41,1944.0
2022-12-23,13.415,13.43,13.455,13.535,13.34,13.425,13.431,575731.0,7732371.33,1916.0
2022-12-22,13.4,13.405,13.55,13.615,13.325,13.41,13.455,1160379.0,15612572.37,2816.0
2022-12-21,13.45,13.455,13.355,13.525,13.23,13.495,13.455,1636208.0,22014334.62,3566.0
2022-12-20,13.275,13.285,13.015,13.325,12.955,13.305,13.259,1622946.0,21518312.95,3596.0
2022-12-19,13.15,13.155,13.075,13.25,13.045,13.2,13.185,1675079.0,22084358.7,3189.0
2022-12-16,12.965,12.97,13.32,13.385,12.855,13.14,13.089,6085786.0,79661412.11,8252.0
2022-12-15,13.285,13.29,13.505,13.57,13.08,13.33,13.312,3805515.0,50648066.03,8976.0
2022-12-14,13.685,13.695,14.11,14.155,13.535,13.645,13.678,2532739.0,34644041.9,6638.0
2022-12-13,14.155,14.16,14.24,14.53,14.08,14.08,14.195,2076497.0,29477478.38,5048.0
2022-12-12,14.25,14.255,14.65,14.65,14.175,14.195,14.245,2322745.0,33088881.25,5315.0
2022-12-09,14.72,14.735,14.35,14.755,14.35,14.715,14.666,1484187.0,21766072.24,4144.0
2022-12-08,14.32,14.33,14.445,14.525,14.185,14.315,14.34,1262625.0,18106716.98,3722.0
2022-12-07,14.47,14.475,14.39,14.53,14.28,14.435,14.429,1303398.0,18809940.49,4699.0
2022-12-05,14.61,14.62,14.325,14.84,14.25,14.565,14.621,1513301.0,22126908.68,4796.0
2022-12-02,14.355,14.365,14.24,14.445,14.04,14.325,14.321,1406609.0,20144075.94,3834.0
2022-12-01,14.185,14.195,14.1,14.245,13.955,14.2,14.165,1360976.0,19278065.13,4690.0
2022-11-30,13.905,13.91,14.085,14.12,13.855,13.975,13.974,3097497.0,43283020.76,4049.0
2022-11-29,14.005,14.015,13.81,14.1,13.76,14.04,13.998,1061990.0,14865382.81,3812.0
2022-11-28,13.78,13.79,14.03,14.035,13.75,13.75,13.822,1036413.0,14325083.51,4574.0
2022-11-25,14.04,14.045,14.125,14.165,13.91,14.05,14.031,862707.0,12104575.54,2505.0
2022-11-24,14.11,14.12,13.975,14.245,13.94,14.155,14.145,958462.0,13557131.33,2821.0
2022-11-23,13.96,13.97,14.04,14.07,13.92,13.975,13.983,806593.0,11278743.92,2376.0
2022-11-22,13.985,13.99,13.935,14.11,13.85,13.995,14.004,853488.0,11952327.59,3846.0
2022-11-21,13.91,13.92,14.095,14.095,13.77,13.905,13.894,1161883.0,16142704.22,3924.0
2022-11-18,14.115,14.125,14.02,14.195,13.955,14.14,14.089,1021113.0,14384054.3,3537.0
2022-11-17,13.875,13.885,13.83,14.25,13.745,13.905,13.938,1482487.0,20665076.91,4195.0
2022-11-16,13.65,14.0,14.125,14.15,13.795,13.99,13.922,929504.0,12939626.97,4186.0
2022-11-15,14.08,14.09,14.375,14.385,14.06,14.12,14.148,1248861.0,17668812.81,3752.0
2022-11-14,14.345,14.365,14.325,14.44,14.22,14.35,14.343,941539.0,13504019.62,3683.0
2022-11-11,14.34,14.345,14.36,14.59,14.24,14.29,14.363,1623950.0,23324470.76,6847.0
2022-11-10,14.24,14.25,14.02,14.345,13.865,14.21,14.145,1544357.0,21844298.3,5863.0
2022-11-09,14.115,14.12,14.22,14.235,14.02,14.135,14.125,992065.0,14012808.05,3227.0
2022-11-08,14.22,14.245,14.065,14.255,13.965,14.255,14.191,1187245.0,16846918.64,4263.0
2022-11-07,14.05,14.06,13.84,14.18,13.72,14.105,14.086,1271975.0,17916868.52,4396.0
2022-11-04,13.89,13.9,13.34,13.975,13.33,13.925,13.769,1617809.0,22275854.78,6023.0
2022-11-03,13.255,13.265,13.26,13.29,12.985,13.245,13.147,1589483.0,20890964.36,4822.0
2022-11-02,13.315,13.33,13.315,13.495,13.19,13.32,13.349,1786314.0,23837543.33,4664.0
2022-11-01,13.42,13.425,13.285,13.705,13.28,13.455,13.494,2144257.0,28912941.04,5385.0
2022-10-31,13.13,13.14,13.335,13.385,13.13,13.19,13.243,1785853.0,23650985.27,6068.0
2022-10-28,13.29,13.3,13.675,13.675,13.14,13.305,13.292,1941656.0,25806768.79,6620.0
2022-10-27,13.795,13.8,14.065,14.12,13.61,13.81,13.795,1355971.0,18706224.22,5116.0
2022-10-26,14.125,14.135,14.04,14.145,13.915,14.125,14.075,889666.0,12521711.31,4178.0
2022-10-25,14.05,14.07,14.02,14.085,13.75,14.085,13.977,1141914.0,15959936.21,4062.0
2022-10-24,13.905,13.92,13.85,14.01,13.43,13.945,13.854,1385207.0,19187927.04,5263.0
