Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades
2022-12-30,2.397,2.398,2.426,2.426,2.395,2.395,2.412,2148767.0,5181814.16,1679.0
2022-12-29,2.423,2.426,2.396,2.429,2.377,2.429,2.401,2171096.0,5212491.35,1485.0
2022-12-28,2.395,2.397,2.41,2.422,2.395,2.399,2.411,2572926.0,6204365.02,1754.0
2022-12-27,2.404,2.406,2.408,2.418,2.386,2.404,2.402,2008483.0,4824881.81,1493.0
2022-12-23,2.395,2.397,2.4,2.424,2.394,2.399,2.406,1664832.0,4005602.69,1164.0
2022-12-22,2.395,2.396,2.415,2.429,2.393,2.399,2.409,1743753.0,4201103.8,1112.0
2022-12-21,2.41,2.413,2.372,2.413,2.372,2.413,2.398,2373920.0,5692037.14,1413.0
2022-12-20,2.363,2.366,2.372,2.385,2.357,2.367,2.371,2290427.0,5430171.2,1593.0
2022-12-19,2.398,2.4,2.427,2.44,2.388,2.392,2.419,2312959.0,5595112.64,1933.0
2022-12-16,2.426,2.427,2.52,2.523,2.419,2.426,2.46,3836342.0,9442271.52,3408.0
2022-12-15,2.526,2.528,2.567,2.576,2.525,2.525,2.549,1962455.0,5002347.58,1735.0
2022-12-14,2.584,2.586,2.607,2.608,2.556,2.582,2.575,1599004.0,4117128.48,1328.0
2022-12-13,2.614,2.617,2.59,2.629,2.549,2.617,2.59,1767736.0,4579322.9,1315.0
2022-12-12,2.582,2.585,2.597,2.604,2.569,2.585,2.582,819333.0,2115632.82,852.0
2022-12-09,2.6,2.601,2.595,2.602,2.568,2.602,2.585,1194059.0,3086883.28,1157.0
2022-12-08,2.598,2.6,2.597,2.606,2.568,2.595,2.585,1005812.0,2599751.71,944.0
2022-12-07,2.597,2.599,2.615,2.615,2.582,2.599,2.596,1398082.0,3629648.05,1248.0
2022-12-05,2.631,2.632,2.643,2.649,2.618,2.633,2.629,1224097.0,3218406.17,1079.0
2022-12-02,2.652,2.655,2.676,2.68,2.64,2.651,2.659,1187177.0,3156261.94,953.0
2022-12-01,2.665,2.666,2.631,2.669,2.627,2.669,2.653,1303238.0,3457029.1,1101.0
2022-11-30,2.61,2.611,2.644,2.663,2.604,2.615,2.627,1224665.0,3217288.13,1118.0
2022-11-29,2.638,2.64,2.679,2.682,2.636,2.641,2.658,1320879.0,3511189.76,1204.0
2022-11-28,2.681,2.683,2.715,2.728,2.679,2.679,2.699,848278.0,2289252.64,729.0
2022-11-25,2.713,2.716,2.715,2.728,2.71,2.715,2.719,402751.0,1095231.08,449.0
2022-11-24,2.712,2.715,2.692,2.721,2.692,2.716,2.71,1083763.0,2936989.92,1084.0
2022-11-23,2.689,2.692,2.688,2.692,2.672,2.692,2.683,593162.0,1591190.57,564.0
2022-11-22,2.685,2.688,2.69,2.698,2.68,2.685,2.688,467746.0,1257344.82,564.0
2022-11-21,2.694,2.696,2.665,2.702,2.662,2.699,2.688,846671.0,2275688.45,741.0
2022-11-18,2.664,2.665,2.655,2.673,2.643,2.665,2.658,875325.0,2326192.36,803.0
2022-11-17,2.652,2.655,2.673,2.687,2.641,2.651,2.659,1204771.0,3203813.51,1129.0
2022-11-16,2.675,2.7,2.709,2.72,2.671,2.68,2.687,1440321.0,3870743.3,1304.0
2022-11-15,2.719,2.72,2.752,2.757,2.711,2.713,2.732,907096.0,2477870.61,955.0
2022-11-14,2.738,2.741,2.711,2.763,2.704,2.744,2.733,1206440.0,3297595.97,1032.0
2022-11-11,2.713,2.715,2.74,2.741,2.692,2.711,2.708,1242177.0,3363286.28,1179.0
2022-11-10,2.727,2.729,2.69,2.744,2.66,2.733,2.705,1591816.0,4305412.89,1230.0
2022-11-09,2.69,2.694,2.7,2.705,2.664,2.698,2.684,821968.0,2206180.01,788.0
2022-11-08,2.693,2.695,2.69,2.699,2.674,2.691,2.688,806845.0,2169024.09,768.0
2022-11-07,2.677,2.68,2.671,2.696,2.664,2.681,2.682,930223.0,2494990.94,905.0
2022-11-04,2.662,2.664,2.661,2.674,2.652,2.66,2.664,729067.0,1942336.24,782.0
2022-11-03,2.658,2.66,2.687,2.692,2.645,2.657,2.664,874446.0,2329170.21,878.0
2022-11-02,2.696,2.7,2.68,2.707,2.668,2.698,2.683,1074703.0,2883737.96,879.0
