Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades
2022-12-30,26.52,26.56,26.96,26.96,26.52,26.52,26.623,114325.0,3043746.08,662.0
2022-12-29,26.88,26.92,26.54,26.94,26.48,26.86,26.763,75715.0,2026083.16,510.0
2022-12-28,26.54,26.58,26.76,26.76,26.48,26.54,26.586,106821.0,2839949.96,738.0
2022-12-27,26.76,26.8,27.0,27.18,26.68,26.76,26.823,89838.0,2409186.27,736.0
2022-12-23,26.8,26.84,26.7,26.98,26.66,26.86,26.854,89972.0,2416116.31,762.0
2022-12-22,26.76,26.82,26.98,27.16,26.68,26.7,26.825,103201.0,2768804.28,878.0
2022-12-21,26.96,27.0,26.8,27.02,26.78,26.98,26.915,430127.0,11578149.45,1013.0
2022-12-20,26.72,26.76,26.4,26.78,26.26,26.7,26.678,232186.0,6194164.73,1069.0
2022-12-19,26.64,26.68,26.88,26.98,26.36,26.6,26.629,292996.0,7801754.84,1136.0
2022-12-16,26.06,26.1,26.7,26.78,25.9,26.08,26.108,520247.0,13582776.94,2392.0
2022-12-15,26.64,26.68,27.5,27.52,26.64,26.72,26.894,322602.0,8676084.38,1342.0
2022-12-14,27.46,27.5,27.62,27.62,27.16,27.48,27.431,174137.0,4776872.76,937.0
2022-12-13,27.62,27.66,27.38,27.94,27.24,27.62,27.624,268668.0,7421399.83,1714.0
2022-12-12,27.38,27.4,27.4,27.5,27.14,27.32,27.343,178112.0,4870209.36,1256.0
2022-12-09,27.48,27.52,27.14,27.54,27.0,27.52,27.386,167136.0,4577090.16,1199.0
2022-12-08,27.0,27.06,27.1,27.36,26.98,27.04,27.075,210779.0,5706944.78,1226.0
2022-12-07,26.98,27.02,26.88,27.12,26.64,27.02,26.904,275761.0,7419770.35,1523.0
2022-12-05,27.12,27.14,27.2,27.32,27.1,27.1,27.147,98512.0,2674367.94,890.0
2022-12-02,27.26,27.3,27.44,27.72,26.82,27.24,27.219,411690.0,11205034.68,2152.0
2022-12-01,27.48,27.54,26.22,27.58,26.22,27.44,27.182,540206.0,14682552.79,2931.0
2022-11-30,25.98,26.0,26.84,27.82,25.76,25.92,26.388,859913.0,22693904.87,4296.0
2022-11-29,26.36,26.38,25.8,26.56,25.74,26.32,26.273,197900.0,5199656.87,1166.0
2022-11-28,25.88,25.92,26.06,26.06,25.72,25.86,25.862,82814.0,2141746.01,626.0
2022-11-25,26.14,26.18,26.2,26.2,25.9,26.14,26.076,91360.0,2382327.55,638.0
2022-11-24,26.2,26.24,26.16,26.52,26.16,26.28,26.313,157720.0,4150031.76,1109.0
2022-11-23,26.16,26.2,25.98,26.3,25.98,26.18,26.166,127396.0,3333518.01,1040.0
2022-11-22,25.9,25.92,25.66,25.96,25.52,25.96,25.863,103765.0,2683620.95,584.0
2022-11-21,25.58,25.6,25.84,25.84,25.24,25.64,25.532,146332.0,3736090.3,1119.0
2022-11-18,25.74,25.76,25.52,25.84,25.38,25.84,25.65,159293.0,4085546.01,868.0
2022-11-17,25.5,25.54,25.56,25.66,25.26,25.46,25.478,129904.0,3309665.93,1076.0
2022-11-16,25.26,25.9,25.72,25.84,25.44,25.52,25.552,85661.0,2188793.98,662.0
2022-11-15,25.84,25.88,25.6,25.88,25.48,25.8,25.719,155166.0,3990812.76,975.0
2022-11-14,25.52,25.56,25.6,25.78,25.4,25.5,25.541,147003.0,3754586.52,820.0
2022-11-11,25.6,25.62,25.7,25.74,25.42,25.56,25.58,208504.0,5333503.53,1361.0
2022-11-10,25.28,25.3,24.74,25.4,24.44,25.38,25.166,264492.0,6656165.42,1275.0
2022-11-09,24.76,24.8,24.66,24.78,24.46,24.76,24.679,91772.0,2264849.52,659.0
2022-11-08,24.54,24.6,24.34,24.68,24.34,24.66,24.608,157325.0,3871257.24,959.0
2022-11-07,24.32,24.36,24.16,24.44,24.12,24.34,24.321,95548.0,2323773.38,740.0
2022-11-04,24.18,24.2,23.9,24.26,23.84,24.16,24.076,147029.0,3539931.98,1241.0
2022-11-03,23.88,23.9,24.2,24.34,23.84,23.86,23.95,175361.0,4199955.84,1088.0
2022-11-02,24.42,24.46,24.36,24.46,24.2,24.42,24.36,91149.0,2220388.36,622.0
2022-11-01,24.28,24.32,24.16,24.54,24.16,24.3,24.371,157956.0,3849469.68,1055.0
