Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades
2022-12-30,9.602,9.61,9.73,9.73,9.58,9.58,9.619,623069.0,5993490.8,2147.0
2022-12-29,9.72,9.732,9.566,9.746,9.54,9.74,9.645,663092.0,6395174.01,2641.0
2022-12-28,9.566,9.57,9.64,9.64,9.498,9.618,9.591,705119.0,6762451.74,2037.0
2022-12-27,9.634,9.64,9.652,9.774,9.504,9.648,9.614,551485.0,5301421.77,1973.0
2022-12-23,9.634,9.646,9.44,9.716,9.43,9.652,9.625,524936.0,5053118.48,1811.0
2022-12-22,9.424,9.436,9.55,9.588,9.4,9.444,9.464,799604.0,7566162.27,2643.0
2022-12-21,9.554,9.562,9.458,9.594,9.426,9.564,9.519,495817.0,4719443.09,1899.0
2022-12-20,9.45,9.456,9.376,9.478,9.272,9.458,9.401,582212.0,5473127.41,2305.0
2022-12-19,9.512,9.514,9.49,9.832,9.45,9.49,9.628,877591.0,8450519.67,3330.0
2022-12-16,9.44,9.45,9.922,9.972,9.43,9.464,9.571,1991355.0,19059314.03,6139.0
2022-12-15,9.964,9.974,10.15,10.15,9.932,9.952,10.016,742372.0,7435398.18,2475.0
2022-12-14,10.255,10.265,10.19,10.29,10.12,10.25,10.227,560544.0,5732890.09,1801.0
2022-12-13,10.215,10.225,10.05,10.42,10.015,10.18,10.223,807657.0,8256253.1,3012.0
2022-12-12,10.04,10.045,10.22,10.22,10.01,10.03,10.075,587867.0,5922574.34,2359.0
2022-12-09,10.21,10.225,10.1,10.32,10.035,10.225,10.202,512243.0,5225902.35,2059.0
2022-12-08,10.055,10.065,10.19,10.21,10.03,10.045,10.083,505126.0,5093536.93,1723.0
2022-12-07,10.235,10.25,10.3,10.32,10.08,10.19,10.201,759180.0,7745511.83,2739.0
2022-12-05,10.41,10.42,10.535,10.535,10.355,10.42,10.423,474486.0,4945330.66,1907.0
2022-12-02,10.555,10.57,10.515,10.625,10.415,10.535,10.539,438704.0,4623425.77,1489.0
2022-12-01,10.52,10.53,10.52,10.66,10.275,10.515,10.501,659898.0,6929958.95,2324.0
2022-11-30,10.36,10.37,10.4,10.48,10.275,10.43,10.405,686720.0,7145077.56,2177.0
2022-11-29,10.355,10.365,10.49,10.525,10.35,10.35,10.397,421383.0,4380672.56,1583.0
2022-11-28,10.475,10.48,10.555,10.605,10.455,10.455,10.497,455863.0,4785168.91,1684.0
2022-11-25,10.61,10.625,10.43,10.635,10.415,10.575,10.547,439324.0,4633416.43,1576.0
2022-11-24,10.48,10.485,10.515,10.715,10.41,10.41,10.456,1096270.0,11463730.47,1710.0
2022-11-23,10.515,10.535,10.8,10.88,10.45,10.505,10.561,633052.0,6685403.38,1827.0
2022-11-22,10.815,10.825,10.9,10.925,10.73,10.78,10.813,434854.0,4701797.58,1462.0
2022-11-21,10.91,10.925,10.975,11.0,10.765,10.92,10.881,325377.0,3540088.1,1658.0
2022-11-18,10.97,10.975,10.765,11.055,10.66,10.975,10.908,493824.0,5386548.75,2208.0
2022-11-17,10.775,10.785,10.965,11.11,10.73,10.735,10.833,453217.0,4909695.43,2011.0
2022-11-16,10.85,11.2,11.045,11.2,10.875,10.965,10.999,357922.0,3936803.45,1565.0
2022-11-15,11.14,11.16,11.5,11.56,11.05,11.13,11.24,840851.0,9452397.88,2895.0
