Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades
2022-12-30,34.95,34.97,35.2,35.36,34.93,34.93,35.047,520036.0,18226335.0,2796.0
2022-12-29,35.19,35.21,35.4,35.43,35.15,35.15,35.217,621807.0,21899848.11,2959.0
2022-12-28,35.48,35.49,35.72,35.88,35.44,35.52,35.59,477962.0,17012486.77,3491.0
2022-12-27,35.67,35.69,35.99,36.19,35.62,35.64,35.742,487941.0,17438958.72,2807.0
2022-12-23,35.75,35.77,35.83,36.06,35.46,35.65,35.715,754163.0,26935091.55,2814.0
2022-12-22,35.82,35.86,35.87,36.19,35.72,35.84,35.887,633361.0,22728682.63,3157.0
2022-12-21,35.84,35.86,35.36,35.96,35.25,35.85,35.764,941757.0,33680183.9,5372.0
2022-12-20,35.32,35.35,34.92,35.56,34.71,35.34,35.296,758825.0,26783360.48,3450.0
2022-12-19,35.07,35.1,35.0,35.4,34.76,35.13,35.096,779910.0,27370206.49,3683.0
2022-12-16,34.77,34.79,35.18,35.36,34.23,34.86,34.758,2417187.0,84013477.23,8617.0
2022-12-15,35.05,35.07,36.25,36.25,35.06,35.1,35.335,1780734.0,62922587.49,7152.0
2022-12-14,36.37,36.4,36.26,36.5,36.07,36.48,36.415,1533515.0,55842671.27,5620.0
2022-12-13,36.27,36.29,36.5,36.92,36.05,36.21,36.33,1322154.0,48036506.29,6654.0
2022-12-12,36.35,36.38,36.96,37.01,36.13,36.37,36.391,1474536.0,53660282.27,5247.0
2022-12-09,37.06,37.07,36.01,37.14,36.01,36.95,36.895,1457035.0,53757280.59,6064.0
2022-12-08,36.0,36.01,35.89,36.29,35.87,35.9,35.985,1269547.0,45683940.99,5442.0
2022-12-07,35.85,35.86,35.43,36.08,35.31,35.84,35.777,1081018.0,38673357.66,5196.0
2022-12-05,35.56,35.6,35.25,36.15,35.05,35.62,35.667,877074.0,31283081.39,5446.0
2022-12-02,35.34,35.35,35.39,35.64,35.07,35.32,35.354,586625.0,20739690.52,4249.0
2022-12-01,35.41,35.42,34.95,35.58,34.66,35.28,35.231,1117851.0,39391572.94,6804.0
2022-11-30,34.88,34.91,34.83,35.07,34.6,34.97,34.96,3348650.0,117068531.26,5534.0
2022-11-29,34.66,34.68,34.22,34.84,34.2,34.66,34.624,1013528.0,35091976.0,4682.0
2022-11-28,34.3,34.32,34.63,34.63,34.03,34.16,34.199,773778.0,26462808.14,3881.0
2022-11-25,34.64,34.65,34.57,34.78,34.37,34.69,34.603,611387.0,21155521.88,4223.0
2022-11-24,34.61,34.62,34.7,34.96,34.51,34.56,34.634,674064.0,23345753.07,3714.0
2022-11-23,34.81,34.83,34.75,34.9,34.58,34.74,34.741,611023.0,21227866.12,4018.0
2022-11-22,34.72,34.73,34.4,34.79,34.4,34.65,34.653,583576.0,20223081.44,3343.0
2022-11-21,34.37,34.4,34.42,34.42,33.94,34.36,34.298,598397.0,20523806.01,3606.0
2022-11-18,34.38,34.42,34.42,34.74,34.16,34.42,34.397,807466.0,27773344.77,4826.0
2022-11-17,34.26,34.28,34.07,34.61,33.93,34.17,34.172,1096534.0,37471886.6,6803.0
2022-11-16,34.1,34.78,34.16,34.75,34.01,34.75,34.27,396837.0,13599789.27,4940.0
2022-11-15,34.16,34.18,34.02,34.39,33.94,34.16,34.158,1238382.0,42296653.14,6998.0
2022-11-14,34.08,34.09,34.35,34.51,33.89,34.01,34.124,868705.0,29644559.88,5756.0
2022-11-11,34.33,34.35,35.11,35.35,33.62,34.22,34.34,1605913.0,55138824.86,11275.0
2022-11-10,35.03,35.04,35.31,35.58,34.94,34.94,35.089,1535161.0,53871491.99,8004.0
2022-11-09,35.42,35.44,35.59,35.71,35.31,35.45,35.487,636892.0,22601806.58,4232.0
2022-11-08,35.65,35.66,35.51,35.87,35.31,35.56,35.584,852684.0,30342339.84,5441.0
2022-11-07,35.39,35.42,35.16,35.91,35.06,35.5,35.589,876467.0,31192464.95,5610.0
2022-11-04,35.26,35.27,34.34,35.41,34.34,35.19,35.084,937871.0,32904918.03,5911.0
2022-11-03,34.12,34.14,34.03,34.44,33.66,34.19,34.085,751118.0,25596493.53,4320.0
2022-11-02,34.42,34.45,34.35,34.69,34.16,34.37,34.425,747213.0,25722845.36,5619.0
2022-11-01,34.47,34.49,34.0,34.74,33.98,34.39,34.452,877507.0,30232060.94,5665.0
2022-10-31,33.8,33.83,34.5,34.5,33.75,33.91,34.02,1409376.0,47945508.02,7875.0
2022-10-28,34.51,34.54,35.12,35.12,34.23,34.57,34.53,935416.0,32300099.72,5694.0
2022-10-27,35.45,35.46,35.83,35.85,34.94,35.4,35.356,902890.0,31923632.62,6508.0
