Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades
2022-12-30,25.23,25.25,25.41,25.51,25.16,25.16,25.294,195593,4947403.06,1584
2022-12-29,25.51,25.54,25.08,25.54,25.03,25.5,25.369,158176,4012415.84,1754
2022-12-28,25.1,25.12,25.54,25.54,25.1,25.16,25.271,174049,4398512.26,1754
2022-12-27,25.46,25.47,25.5,25.63,25.3,25.45,25.478,172645,4398291.99,1465
2022-12-23,25.21,25.23,25.12,25.41,25.02,25.22,25.249,180628,4560806.68,1797
2022-12-22,25.11,25.14,25.6,25.69,25.04,25.12,25.274,291888,7377529.22,2000
2022-12-21,25.53,25.55,25.1,25.57,25.1,25.53,25.416,329902,8384722.31,1828
2022-12-20,25.03,25.05,24.92,25.17,24.76,24.98,25.006,269898,6749115.19,2598
2022-12-19,25.13,25.15,25.1,25.34,25.04,25.1,25.139,246794,6204263.82,1856
2022-12-16,25.1,25.12,25.19,25.5,24.89,25.06,25.126,655611,16474668.53,3974
2022-12-15,25.22,25.24,25.57,25.95,25.19,25.19,25.452,404875,10304932.48,3286
2022-12-14,25.86,25.88,25.88,26.01,25.35,25.87,25.697,481760,12375633.03,2990
2022-12-13,25.82,25.85,25.32,26.39,25.19,25.89,25.911,592025,15343517.28,3086
2022-12-12,25.23,25.26,25.66,25.66,25.04,25.26,25.244,348896,8806623.39,2326
2022-12-09,25.68,25.71,25.18,25.85,25.18,25.74,25.683,286907,7368487.79,1755
2022-12-08,25.13,25.15,25.6,25.61,25.04,25.06,25.157,317468,7986576.55,1956
2022-12-07,25.45,25.48,25.29,25.72,25.19,25.44,25.482,554215,14123220.26,3447
2022-12-05,25.49,25.51,25.58,25.76,25.3,25.5,25.522,269822,6886264.59,2249
2022-12-02,25.55,25.57,24.91,25.67,24.86,25.58,25.451,469116,11938401.55,2816
2022-12-01,24.97,24.98,24.79,25.09,24.56,24.91,24.894,438213,10909338.34,2774
2022-11-30,24.52,24.53,24.62,24.97,24.5,24.52,24.634,465907,11477505.85,2175
2022-11-29,24.61,24.64,24.62,24.77,24.45,24.62,24.589,386410,9502342.87,2246
2022-11-28,24.53,24.55,24.87,24.97,24.45,24.52,24.613,276509,6805766.69,2255
2022-11-25,24.94,24.95,25.05,25.11,24.83,24.92,24.951,421312,10512229.94,2472
2022-11-24,25.05,25.06,25.17,25.76,24.95,25.05,25.245,685279,17298652.4,3906
2022-11-23,25.17,25.19,25.04,25.2,24.84,25.17,25.111,209188,5252917.83,1669
2022-11-22,24.92,24.96,24.63,24.99,24.5,24.99,24.84,210487,5228503.38,1421
