Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades
2022-12-30,7.898,7.902,7.946,7.968,7.868,7.868,7.901,770476.0,6087213.53,2432.0
2022-12-29,7.932,7.938,7.836,7.952,7.782,7.952,7.904,755126.0,5968053.62,3457.0
2022-12-28,7.854,7.856,7.93,7.982,7.834,7.856,7.886,909393.0,7172096.62,3546.0
2022-12-27,7.93,7.936,7.952,8.008,7.904,7.912,7.946,724671.0,5757751.36,2355.0
2022-12-23,7.91,7.916,7.864,7.984,7.85,7.9,7.921,668935.0,5299314.13,2118.0
2022-12-22,7.84,7.846,7.99,8.022,7.814,7.84,7.893,1125793.0,8887462.52,2595.0
2022-12-21,8.006,8.01,7.952,8.04,7.888,7.99,7.971,1367751.0,10901715.54,4393.0
2022-12-20,7.93,7.936,8.0,8.034,7.872,7.908,7.939,1547436.0,12286139.66,4661.0
2022-12-19,8.09,8.096,8.042,8.14,7.92,8.074,8.067,1080126.0,8713039.99,2978.0
2022-12-16,8.126,8.13,8.214,8.262,8.03,8.132,8.122,1798016.0,14603251.14,4595.0
2022-12-15,8.212,8.216,8.356,8.364,8.144,8.218,8.251,1532788.0,12648732.78,5153.0
2022-12-14,8.44,8.448,8.494,8.52,8.39,8.428,8.443,1392915.0,11760190.67,4041.0
2022-12-13,8.496,8.498,8.27,8.61,8.27,8.496,8.467,1503638.0,12732532.65,4969.0
2022-12-12,8.26,8.268,8.322,8.326,8.174,8.246,8.247,969192.0,7993445.2,3509.0
2022-12-09,8.35,8.352,8.132,8.37,8.132,8.364,8.315,1472509.0,12241739.83,3322.0
2022-12-08,8.07,8.074,8.246,8.292,8.066,8.072,8.123,1357556.0,11027663.01,4148.0
2022-12-07,8.196,8.198,8.308,8.328,8.172,8.172,8.228,1251283.0,10299967.71,4682.0
2022-12-05,8.394,8.398,8.354,8.44,8.304,8.396,8.385,844956.0,7085178.92,3339.0
2022-12-02,8.384,8.386,8.274,8.406,8.16,8.354,8.315,1173543.0,9757460.26,3483.0
2022-12-01,8.284,8.286,8.3,8.374,8.154,8.284,8.277,1776968.0,14700655.13,6854.0
2022-11-30,8.256,8.26,8.2,8.288,8.132,8.238,8.24,1995825.0,16446123.99,4936.0
2022-11-29,8.164,8.174,8.038,8.246,7.998,8.17,8.166,1396273.0,11401725.52,4185.0
2022-11-28,8.056,8.066,8.25,8.292,8.038,8.038,8.095,1434352.0,11610483.86,4520.0
2022-11-25,8.3,8.312,8.32,8.344,8.224,8.292,8.287,709943.0,5883217.88,3303.0
2022-11-24,8.318,8.33,8.176,8.386,8.15,8.32,8.315,1196396.0,9948195.82,3749.0
2022-11-23,8.186,8.194,8.2,8.2,8.078,8.174,8.149,815341.0,6644452.13,4159.0
2022-11-22,8.152,8.156,8.11,8.182,8.048,8.178,8.152,883472.0,7201560.9,3699.0
2022-11-21,8.112,8.114,8.09,8.118,7.974,8.104,8.071,1209551.0,9762534.15,4785.0
2022-11-18,8.088,8.094,8.0,8.148,7.97,8.11,8.092,973690.0,7879162.3,2750.0
2022-11-17,7.982,7.986,8.002,8.188,7.91,7.958,8.019,1393265.0,11173721.62,4038.0
2022-11-16,7.92,8.1,8.1,8.14,7.912,8.002,8.038,1497066.0,12033776.95,4690.0
2022-11-15,8.126,8.13,8.2,8.25,7.934,8.11,8.083,2060695.0,16656883.08,6435.0
2022-11-14,8.248,8.254,8.02,8.394,7.938,8.246,8.16,2571994.0,20982126.59,7100.0
2022-11-11,7.982,7.99,7.81,7.998,7.772,7.996,7.898,1958324.0,15464876.09,6924.0
2022-11-10,7.668,7.672,7.4,7.81,7.346,7.714,7.651,2354920.0,18012926.36,6299.0
2022-11-09,7.454,7.46,7.458,7.51,7.322,7.494,7.453,1443479.0,10755637.21,3387.0
2022-11-08,7.458,7.464,7.356,7.48,7.276,7.48,7.388,1084949.0,8015115.97,4060.0
2022-11-07,7.316,7.32,7.23,7.368,7.168,7.346,7.32,842155.0,6164354.27,3048.0
2022-11-04,7.258,7.262,7.032,7.286,7.032,7.262,7.219,1332288.0,9617792.65,4190.0
2022-11-03,6.968,6.974,6.95,6.986,6.862,6.98,6.934,1163696.0,8068680.48,4755.0
2022-11-02,7.064,7.07,7.1,7.152,7.008,7.054,7.058,1508402.0,10645977.44,3858.0
2022-11-01,7.096,7.102,6.996,7.226,6.988,7.076,7.1,1680846.0,11932942.79,5725.0
2022-10-31,6.894,6.9,7.0,7.008,6.842,6.9,6.904,1785589.0,12327514.11,4719.0
2022-10-28,6.982,6.986,6.9,7.048,6.87,6.988,6.969,1192912.0,8313318.15,3846.0
2022-10-27,6.982,6.984,6.97,7.094,6.884,6.99,6.993,1633945.0,11424734.1,6885.0
2022-10-26,7.014,7.018,6.75,7.04,6.666,7.018,6.922,2976245.0,20606315.69,7119.0
