Date,KESKOB,HUH1V,ELISA,STERV,WRT1V,QTCOM,VALMT,NDA-FI,ORNBV,NOKIA,METSB,KOJAMO,OUT1V,TYRES,KCR,NESTE,KNEBV,UPM,TELIA1,SAMPO,MOCORP,SSABBH,CGCBV,TIETO,FORTUM
2022-12-30,20.62,32.0,49.46,13.15,7.868,44.5,25.16,10.03,51.24,4.327,8.765,13.8,4.731,9.58,28.76,43.02,48.3,34.93,2.395,48.82,9.612,4.875,41.32,26.52,15.54
2022-12-29,20.87,32.66,50.2,13.31,7.952,44.17,25.5,10.088,52.7,4.391,8.855,14.06,4.798,9.74,29.17,43.8,48.82,35.15,2.429,49.38,9.732,4.93,42.22,26.86,15.84
2022-12-28,20.64,32.47,49.59,13.37,7.856,42.36,25.16,10.054,52.26,4.336,8.73,13.86,4.753,9.618,28.85,43.33,48.49,35.52,2.399,49.29,9.636,4.913,41.52,26.54,15.8
2022-12-27,20.68,32.45,49.73,13.43,7.912,43.6,25.45,10.116,52.48,4.38,8.625,13.84,4.761,9.648,29.03,43.69,48.68,35.64,2.404,49.5,9.746,4.85,41.96,26.76,15.785
2022-12-23,20.71,32.64,49.87,13.425,7.9,44.16,25.22,10.054,53.22,4.364,8.485,13.9,4.762,9.652,28.98,43.89,48.21,35.65,2.399,49.73,9.628,4.847,41.62,26.86,15.88
2022-12-22,20.63,32.48,49.72,13.41,7.84,43.79,25.12,10.068,53.72,4.35,8.415,13.74,4.724,9.444,28.86,43.93,47.82,35.84,2.399,49.25,9.456,4.826,41.66,26.7,16.23
2022-12-21,20.83,32.81,49.78,13.495,7.99,43.99,25.53,9.996,53.42,4.382,8.46,13.73,4.763,9.564,28.79,44.55,48.31,35.85,2.413,48.92,9.688,5.068,41.84,26.98,16.18
2022-12-20,20.36,32.47,49.52,13.305,7.908,43.34,24.98,9.878,52.86,4.338,8.44,13.29,4.633,9.458,28.45,46.49,47.51,35.34,2.367,48.88,9.234,4.936,39.68,26.7,15.92
2022-12-19,20.5,32.87,49.39,13.2,8.074,45.57,25.1,9.763,51.74,4.368,8.375,13.62,4.586,9.49,28.18,45.39,47.87,35.13,2.392,48.74,9.26,4.888,40.02,26.6,15.155
2022-12-16,20.36,32.86,49.77,13.14,8.132,45.8,25.06,9.728,51.52,4.36,8.345,13.79,4.48,9.464,28.1,44.61,47.54,34.86,2.426,48.19,9.084,4.845,39.6,26.08,14.33
2022-12-15,20.32,32.76,50.9,13.33,8.218,47.2,25.19,9.754,49.97,4.538,8.34,14.42,4.703,9.952,28.15,45.6,47.85,35.1,2.525,48.35,9.188,4.953,40.04,26.72,14.87
2022-12-14,20.5,33.59,51.78,13.645,8.428,49.29,25.87,10.0,50.44,4.708,8.47,15.0,4.745,10.25,28.95,46.12,48.96,36.48,2.582,48.75,9.382,5.13,41.32,27.48,15.205
2022-12-13,20.4,33.51,50.76,14.08,8.496,49.14,25.89,9.948,50.72,4.729,8.56,14.82,4.888,10.18,29.46,46.2,48.36,36.21,2.617,48.68,9.186,5.576,41.78,27.62,15.39
2022-12-12,20.34,33.3,50.7,14.195,8.246,46.98,25.26,9.859,51.08,4.65,8.62,14.42,4.798,10.03,28.8,45.81,48.05,36.37,2.585,48.64,8.958,5.508,41.94,27.32,15.37
2022-12-09,20.95,33.31,50.92,14.715,8.364,47.34,25.74,9.975,50.34,4.689,8.815,14.73,4.865,10.225,28.91,45.74,48.6,36.95,2.602,49.44,9.014,5.538,41.56,27.52,15.51
2022-12-08,20.55,32.92,50.5,14.315,8.072,46.55,25.06,9.83,50.26,4.646,8.61,14.67,4.863,10.045,28.31,45.98,47.82,35.9,2.595,49.0,8.948,5.488,40.36,27.04,15.275
2022-12-07,20.96,32.76,51.1,14.435,8.172,46.95,25.44,9.84,50.64,4.596,8.6,14.55,4.811,10.19,28.14,47.04,47.61,35.84,2.599,48.59,8.92,5.368,40.02,27.02,15.53
2022-12-05,21.06,33.17,51.58,14.565,8.396,48.08,25.5,10.068,51.12,4.72,8.6,14.91,4.818,10.42,28.69,48.68,48.69,35.62,2.633,48.6,9.298,5.366,40.5,27.1,15.865
2022-12-02,21.02,33.21,51.06,14.325,8.354,47.72,25.58,10.062,51.72,4.838,8.625,14.78,4.82,10.535,28.91,48.84,48.65,35.32,2.651,48.37,9.114,5.386,40.5,27.24,15.97
